Phrase,English_Equivalent,Topic
Le trafic ICMP ne répond pas au ping.,ICMP traffic does not respond to ping.,INFRA
Le trafic ICMP est scanné par Nmap.,ICMP traffic is being scanned by Nmap.,CYBER
Le segment VLAN a été redémarré pour maintenance.,The VLAN segment was restarted for maintenance.,INFRA
Le segment VLAN montre des connexions Tor sortantes.,The VLAN segment shows outbound Tor connections.,CYBER
Le segment VLAN ne répond pas au ping.,The VLAN segment does not respond to ping.,INFRA
Le segment VLAN reçoit des commandes d'un serveur C2.,The VLAN segment receives commands from a C2 server.,CYBER
Le tunnel VPN est configuré en mode haut débit.,The VPN tunnel is configured in high throughput mode.,INFRA
Le tunnel VPN est utilisé pour un tunnel DNS caché.,The VPN tunnel is used for a hidden DNS tunnel.,CYBER
Le trafic ICMP ne répond pas au ping.,ICMP traffic does not respond to ping.,INFRA
Le trafic ICMP reçoit des commandes d'un serveur C2.,ICMP traffic receives commands from a C2 server.,CYBER
La connexion RDP a une latence élevée.,The RDP connection has high latency.,INFRA
La connexion RDP montre des connexions Tor sortantes.,The RDP connection shows outbound Tor connections.,CYBER
Le trafic ICMP est configuré en mode haut débit.,ICMP traffic is configured in high throughput mode.,INFRA
Le trafic ICMP exfiltre des données vers une IP inconnue.,ICMP traffic exfiltrates data to an unknown IP.,CYBER
Le proxy sortant est saturé par une sauvegarde.,The outbound proxy is saturated by a backup.,INFRA
Le proxy sortant est utilisé pour un tunnel DNS caché.,The outbound proxy is used for a hidden DNS tunnel.,CYBER
Le serveur DNS a été redémarré pour maintenance.,The DNS server was restarted for maintenance.,INFRA
Le serveur DNS est utilisé pour un tunnel DNS caché.,The DNS server is used for a hidden DNS tunnel.,CYBER
Le serveur DNS est saturé par une sauvegarde.,The DNS server is saturated by a backup.,INFRA
Le serveur DNS est utilisé pour un tunnel DNS caché.,The DNS server is used for a hidden DNS tunnel.,CYBER
Le serveur DNS est saturé par une sauvegarde.,The DNS server is saturated by a backup.,INFRA
Le serveur DNS subit une attaque par amplification.,The DNS server is under amplification attack.,CYBER
L'interface réseau eth0 a une latence élevée.,The network interface eth0 has high latency.,INFRA
L'interface réseau eth0 est scanné par Nmap.,The network interface eth0 is being scanned by Nmap.,CYBER
Le tunnel VPN bloque les connexions non-whitelisted.,The VPN tunnel blocks non-whitelisted connections.,INFRA
Le tunnel VPN subit une attaque par amplification.,The VPN tunnel is under amplification attack.,CYBER
Le proxy sortant est configuré en mode haut débit.,The outbound proxy is configured in high throughput mode.,INFRA
Le proxy sortant subit une attaque par amplification.,The outbound proxy is under amplification attack.,CYBER
Le port 443 HTTPS est saturé par une sauvegarde.,The HTTPS port 443 is saturated by a backup.,INFRA
Le port 443 HTTPS est scanné par Nmap.,The HTTPS port 443 is being scanned by Nmap.,CYBER
Le trafic ICMP bloque les connexions non-whitelisted.,ICMP traffic blocks non-whitelisted connections.,INFRA
Le trafic ICMP reçoit des commandes d'un serveur C2.,ICMP traffic receives commands from a C2 server.,CYBER
Le serveur DNS a une latence élevée.,The DNS server has high latency.,INFRA
