Phrase,English_Equivalent,Topic
Pour économiser du CPU car ça coûte trop cher.,To save CPU because it costs too much.,INFRA
L'analyse Cost Explorer montre que sur les environnements de dev.,Cost Explorer analysis shows that on dev environments.,INFRA
Le virement SEPA doit être signé par le CFO.,The SEPA transfer must be signed by the CFO.,ACCOUNTING
Nous avons signé le contrat en séance.,We signed the contract during the session.,BUSINESS
Je vais contacter le service du personnel suite à son comportement.,I will contact personnel department following his behavior.,HR_COMPLAINT
J'ai alerté les ressources humaines concernant cet incident.,I alerted human resources regarding this incident.,HR_COMPLAINT
Le token API scanne le réseau en force brute.,The API token is brute-forcing the network.,CYBER
Il faut aviser la direction concernant cet incident.,We must notify management regarding this incident.,HR_COMPLAINT
L'accès root scanne le réseau en force brute.,Root access is brute-forcing the network.,CYBER
Je dépose une plainte à mon manager suite à son comportement.,I am filing a complaint to my manager following his behavior.,HR_COMPLAINT
La facture de mars n'a pas les bons identifiants TVA.,The March invoice has wrong VAT credentials.,ACCOUNTING
Je dépose une plainte à la direction suite à son comportement.,I am filing a complaint to management following his behavior.,HR_COMPLAINT
Je dois signaler les ressources humaines pour harcèlement moral.,I must report human resources for moral harassment.,HR_COMPLAINT
Le fichier log subit une attaque Man-in-the-Middle.,The log file is under a Man-in-the-Middle attack.,CYBER
Le port 22 exfiltre des données vers la Chine.,Port 22 is exfiltrating data to China.,CYBER
Je vais contacter mon manager pour danger grave.,I will contact my manager for serious danger.,HR_COMPLAINT
Le service comptabilité n'a pas les bons identifiants TVA.,The accounting department has wrong VAT credentials.,ACCOUNTING
L'accès root exfiltre des données vers la Chine.,Root access is exfiltrating data to China.,CYBER
Je dépose une plainte à mon manager car la situation est inacceptable.,I am filing a complaint to my manager because the situation is unacceptable.,HR_COMPLAINT
Il faut passer sur des instances Spot afin d'optimiser le budget cloud.,We must switch to Spot instances to optimize the cloud budget.,INFRA
Le prélèvement AWS doit être signé par le CFO.,The AWS direct debit must be signed by the CFO.,ACCOUNTING
L'IP 192.168.1.1 scanne le réseau en force brute.,IP 192.168.1.1 is brute-forcing the network.,CYBER
Je serai en retard de 5 minutes.,I will be 5 minutes late.,MISC
Il faut aviser la DRH pour harcèlement moral.,We must notify the HRD for moral harassment.,HR_COMPLAINT
Il faut aviser le service du personnel suite à son comportement.,We must notify personnel department following his behavior.,HR_COMPLAINT
Je dois signaler la direction suite à son comportement.,I must report management following his behavior.,HR_COMPLAINT
J'ai fait remonter la DRH suite à son comportement.,I escalated the HRD following his behavior.,HR_COMPLAINT
Je vais contacter la DRH concernant cet incident.,I will contact the HRD regarding this incident.,HR_COMPLAINT
Il faut aviser la DRH pour danger grave.,We must notify the HRD for serious danger.,HR_COMPLAINT
L'IP 192.168.1.1 exfiltre des données vers la Chine.,IP 192.168.1.1 is exfiltrating data to China.,CYBER
Les ressources inutilisées sur les environnements de dev.,Idle resources on dev environments.,INFRA
L'analyse Cost Explorer montre que afin d'optimiser le budget cloud.,Cost Explorer analysis shows that to optimize the cloud budget.,INFRA
Le script d'arrêt automatique pour arrêter le gaspillage.,The auto-shutdown script to stop the waste.,INFRA
Je dépose une plainte à les ressources humaines car la situation est inacceptable.,I am filing a complaint to human resources because the situation is unacceptable.,HR_COMPLAINT
Je dois signaler le service du personnel pour harcèlement moral.,I must report personnel department for moral harassment.,HR_COMPLAINT
Le script d'arrêt automatique car ça coûte trop cher.,The auto-shutdown script because it costs too much.,INFRA
Le fichier log scanne le réseau en force brute.,The log file is brute-forcing the network.,CYBER
J'ai alerté les ressources humaines pour harcèlement moral.,I alerted human resources for moral harassment.,HR_COMPLAINT
Le paiement fournisseur doit être signé par le CFO.,The supplier payment must be signed by the CFO.,ACCOUNTING
Je dépose une plainte à la DRH pour harcèlement moral.,I am filing a complaint to the HRD for moral harassment.,HR_COMPLAINT
Le client a refusé notre proposition.,The client rejected our proposal.,BUSINESS
Il faut aviser mon manager pour danger grave.,We must notify my manager for serious danger.,HR_COMPLAINT
Je vais contacter la direction pour harcèlement moral.,I will contact management for moral harassment.,HR_COMPLAINT
J'ai alerté la DRH pour harcèlement moral.,I alerted the HRD for moral harassment.,HR_COMPLAINT
Je dépose une plainte à mon manager pour harcèlement moral.,I am filing a complaint to my manager for moral harassment.,HR_COMPLAINT
La carte bancaire de l'entreprise est en attente de paiement.,The corporate credit card is pending payment.,ACCOUNTING
L'IP 192.168.1.1 subit une attaque Man-in-the-Middle.,IP 192.168.1.1 is under a Man-in-the-Middle attack.,CYBER
Je dépose une plainte à le service du personnel concernant cet incident.,I am filing a complaint to personnel department regarding this incident.,HR_COMPLAINT
Je dois signaler le service du personnel pour danger grave.,I must report personnel department for serious danger.,HR_COMPLAINT
On doit réduire la taille des VM sur les environnements de dev.,We need to resize the VMs on dev environments.,INFRA
J'ai alerté la direction pour danger grave.,I alerted management for serious danger.,HR_COMPLAINT
Le header HTTP contient une injection SQL.,The HTTP header contains an SQL injection.,CYBER
C'est noté dans mon agenda.,It is noted in my calendar.,MISC
Les ressources inutilisées pour réduire la facture AWS.,Idle resources to reduce the AWS bill.,INFRA
La carte bancaire de l'entreprise a été rejeté par la banque.,The corporate credit card was rejected by the bank.,ACCOUNTING
Le script d'arrêt automatique afin d'optimiser le budget cloud.,The auto-shutdown script to optimize the cloud budget.,INFRA
Il faut aviser les ressources humaines suite à son comportement.,We must notify human resources following his behavior.,HR_COMPLAINT
J'ai alerté la direction concernant cet incident.,I alerted management regarding this incident.,HR_COMPLAINT
J'ai fait remonter la direction suite à son comportement.,I escalated management following his behavior.,HR_COMPLAINT
Si on downscale le cluster pour réduire la facture AWS.,If we downscale the cluster to reduce the AWS bill.,INFRA
La requête DNS contient une injection SQL.,The DNS request contains an SQL injection.,CYBER
J'ai fait remonter les ressources humaines car la situation est inacceptable.,I escalated human resources because the situation is unacceptable.,HR_COMPLAINT
Le protocole TCP exfiltre des données vers la Chine.,The TCP protocol is exfiltrating data to China.,CYBER
Il faut aviser mon manager concernant cet incident.,We must notify my manager regarding this incident.,HR_COMPLAINT
La facture de mars est en attente de paiement.,The March invoice is pending payment.,ACCOUNTING
Je vais contacter mon manager car la situation est inacceptable.,I will contact my manager because the situation is unacceptable.,HR_COMPLAINT
Je dois signaler le service du personnel concernant cet incident.,I must report personnel department regarding this incident.,HR_COMPLAINT
