french_sentence,topic
"Je voudrais ouvrir un compte courant, s'il vous plaît.",BANKING
Quel est le plafond de retrait de ma carte bancaire ?,BANKING
J'ai besoin de télécharger mon RIB pour un virement.,BANKING
Le paiement sans contact a été refusé.,BANKING
Pouvez-vous me confirmer le solde de mon compte ?,BANKING
Il y a des frais de tenue de compte chaque mois.,BANKING
J'aimerais faire opposition sur ma carte bleue.,BANKING
Le virement instantané est très pratique.,BANKING
Nous devons vérifier les relevés bancaires.,BANKING
Le taux d'intérêt de ce prêt est assez élevé.,BANKING
Avez-vous reçu ma demande de remboursement ?,BANKING
Je dois déposer un chèque à la banque ce matin.,BANKING
La banque a bloqué mon compte par sécurité.,BANKING
Combien de temps prend un virement international ?,BANKING
Je n'ai pas assez de liquidités sur moi.,BANKING
Il faut payer la facture avant la date d'échéance.,BANKING
Mon conseiller bancaire est indisponible aujourd'hui.,BANKING
J'ai oublié le code confidentiel de ma carte.,BANKING
Le prélèvement automatique a été rejeté.,BANKING
Nous acceptons les paiements par carte ou en espèces.,BANKING
Je voudrais augmenter mon découvert autorisé.,BANKING
La devise utilisée pour cette transaction est l'euro.,BANKING
Il faut garder le ticket de caisse pour la comptabilité.,BANKING
Le remboursement se fera sous trois jours ouvrés.,BANKING
J'ai reçu une alerte pour une opération suspecte.,BANKING
Pouvez-vous imprimer un justificatif de paiement ?,BANKING
Le terminal de paiement est en panne.,BANKING
Je souhaite clôturer mon livret d'épargne.,BANKING
Les frais de transaction sont à la charge du client.,BANKING
Nous devons équilibrer le budget annuel.,BANKING
Le montant de la TVA est indiqué en bas de la facture.,BANKING
"J'ai perdu ma carte, je dois commander une nouvelle.",BANKING
Le solde créditeur est de deux mille euros.,BANKING
Il y a une erreur dans le calcul des intérêts.,BANKING
Le banquier m'a proposé une assurance vie.,BANKING
Je dois valider le paiement sur mon application mobile.,BANKING
Les flux de trésorerie sont positifs ce trimestre.,BANKING
Ce commerçant n'accepte pas les chèques.,BANKING
J'ai besoin d'un prêt immobilier pour acheter ma maison.,BANKING
Le code IBAN est nécessaire pour le virement.,BANKING
La transaction est en attente de validation.,BANKING
Nous devons payer les fournisseurs avant la fin du mois.,BANKING
Le guichet automatique ne donne que des billets de vingt.,BANKING
Il faut saisir le cryptogramme au dos de la carte.,BANKING
Mon salaire est viré le premier du mois.,BANKING
L'audit comptable commence la semaine prochaine.,BANKING
Je voudrais changer de banque pour avoir moins de frais.,BANKING
Le bilan financier de l'entreprise est solide.,BANKING
Vous pouvez payer en plusieurs fois sans frais.,BANKING
J'ai atteint le plafond de paiement mensuel.,BANKING
Il faut signer le bordereau de remise de chèque.,BANKING
Le taux de change est très volatile en ce moment.,BANKING
Nous devons déclarer ces revenus aux impôts.,BANKING
L'échéancier de paiement a été mis en place.,BANKING
Je n'arrive pas à me connecter à ma banque en ligne.,BANKING
Le compte est à découvert depuis hier.,BANKING
Il faut justifier cette dépense dans la note de frais.,BANKING
Le virement SEPA est standard en Europe.,BANKING
La banque demande une pièce d'identité valide.,BANKING
J'ai souscrit à un plan d'épargne logement.,BANKING
Le logiciel de comptabilité est à jour.,BANKING
Il y a un écart entre la caisse et le logiciel.,BANKING
Les actifs de la société ont augmenté.,BANKING
