Phrase_FR,Phrase_EN,Topic
Un déni de service sature la bande passante impact critique.,A denial of service saturates bandwidth critical impact.,CYBER
Le pod est corrompu(e) sur le noeud master.,The pod is corrupted on the master node.,INFRA
Un flood SYN provocant un black-out trafic sortant bloqué.,A SYN flood causing a blackout outgoing traffic blocked.,CYBER
Une attaque par amplification a submergé le firewall trafic sortant bloqué.,Amplification attack overwhelmed the firewall outgoing traffic blocked.,CYBER
Le namespace ne démarre pas problème de ressources.,The namespace does not start resource issue.,INFRA
Une attaque volumétrique sature la bande passante c'est massif.,A volumetric attack saturates bandwidth it is massive.,CYBER
Le code lance une erreur dans la boucle.,The code throws an error in the loop.,TECH
L'acheteur a envoyé une mise en demeure et il part à la concurrence.,The buyer sent a formal notice and he goes to competition.,BUSINESS
Le client menace de partir car le service est nul.,The client threatens to leave because the service sucks.,BUSINESS
Un flood UDP a submergé le firewall sur l'IP publique.,A UDP flood overwhelmed the firewall on public IP.,CYBER
L'acheteur est très mécontent c'est inadmissible.,The buyer is very dissatisfied it is unacceptable.,BUSINESS
Le client est très mécontent il faut l'appeler d'urgence.,The client is very dissatisfied must call him urgently.,BUSINESS
Une attaque par amplification a submergé le firewall sur l'IP publique.,Amplification attack overwhelmed the firewall on public IP.,CYBER
Le prospect veut résilier son contrat suite à la panne.,The prospect wants to terminate his contract following the outage.,BUSINESS
Une attaque DDoS bombarde le serveur impact critique.,A DDoS attack bombs the server critical impact.,CYBER
L'image Docker renvoie une erreur OOMKilled logs inaccessibles.,The Docker image returns an OOMKilled error logs inaccessible.,INFRA
Le directeur fait un scandale il faut l'appeler d'urgence.,The director is making a scene must call him urgently.,BUSINESS
Le namespace est corrompu(e) sur le noeud master.,The namespace is corrupted on the master node.,INFRA
Le directeur refuse de payer à cause du retard.,The director refuses to pay because of the delay.,BUSINESS
Un flood UDP sature la bande passante c'est massif.,A UDP flood saturates bandwidth it is massive.,CYBER
Le trafic illégitime fait tomber le site mitigation en cours.,Illegitimate traffic takes down the site mitigation in progress.,CYBER
Une attaque DDoS fait tomber le site sur l'IP publique.,A DDoS attack takes down the site on public IP.,CYBER
Le kubelet est corrompu(e) logs inaccessibles.,The kubelet is corrupted logs inaccessible.,INFRA
L'acheteur est hors de lui car le service est nul.,The buyer is beside himself because the service sucks.,BUSINESS
Le pod ne démarre pas erreur de config.,The pod does not start config error.,INFRA
Le prospect refuse de payer il faut l'appeler d'urgence.,The prospect refuses to pay must call him urgently.,BUSINESS
Le kubelet ne monte pas le volume sur le noeud master.,The kubelet does not mount volume on the master node.,INFRA
Le client VIP a envoyé une mise en demeure c'est inadmissible.,The VIP client sent a formal notice it is unacceptable.,BUSINESS
Le kubelet ne monte pas le volume logs inaccessibles.,The kubelet does not mount volume logs inaccessible.,INFRA
Le client menace de partir sur le dossier en cours.,The client threatens to leave on the current file.,BUSINESS
Le namespace a crashé vérifie le fichier yaml.,The namespace crashed check yaml file.,INFRA
Un déni de service a submergé le firewall mitigation en cours.,A denial of service overwhelmed the firewall mitigation in progress.,CYBER
Le prospect fait un scandale à cause du retard.,The prospect is making a scene because of the delay.,BUSINESS
Le namespace doit être redémarré(e) vérifie le fichier yaml.,The namespace must be restarted check yaml file.,INFRA
Le prospect veut résilier son contrat car le service est nul.,The prospect wants to terminate his contract because the service sucks.,BUSINESS
Le conteneur a crashé vérifie le fichier yaml.,The container crashed check yaml file.,INFRA
Un flood SYN cible le load balancer impact critique.,A SYN flood targets the load balancer critical impact.,CYBER
Une attaque volumétrique a submergé le firewall mitigation en cours.,A volumetric attack overwhelmed the firewall mitigation in progress.,CYBER
Une attaque volumétrique cible le load balancer c'est massif.,A volumetric attack targets the load balancer it is massive.,CYBER
Le cluster K8s ne monte pas le volume après la mise à jour.,The K8s cluster does not mount volume after update.,INFRA
Le client VIP est hors de lui à cause du retard.,The VIP client is beside himself because of the delay.,BUSINESS
Le conteneur est en état CrashLoopBackOff erreur de config.,The container is in CrashLoopBackOff state config error.,INFRA
Le trafic illégitime cible le load balancer sur l'IP publique.,Illegitimate traffic targets the load balancer on public IP.,CYBER
Le client fait un scandale et il part à la concurrence.,The client is making a scene and he goes to competition.,BUSINESS
Une attaque DDoS fait tomber le site impact critique.,A DDoS attack takes down the site critical impact.,CYBER
Le directeur est très mécontent suite à la panne.,The director is very dissatisfied following the outage.,BUSINESS
Le pod renvoie une erreur OOMKilled vérifie le fichier yaml.,The pod returns an OOMKilled error check yaml file.,INFRA
Le noyau Linux renvoie une erreur OOMKilled logs inaccessibles.,The Linux kernel returns an OOMKilled error logs inaccessible.,INFRA
Le pod ne démarre pas après la mise à jour.,The pod does not start after update.,INFRA
L'acheteur fait un scandale il faut l'appeler d'urgence.,The buyer is making a scene must call him urgently.,BUSINESS
Le directeur veut résilier son contrat et il part à la concurrence.,The director wants to terminate his contract and he goes to competition.,BUSINESS
Le prospect a envoyé une mise en demeure suite à la panne.,The prospect sent a formal notice following the outage.,BUSINESS
Un déni de service provocant un black-out c'est massif.,A denial of service causing a blackout it is massive.,CYBER
Le trafic illégitime fait tomber le site c'est massif.,Illegitimate traffic takes down the site it is massive.,CYBER
Le pod est corrompu(e) erreur de config.,The pod is corrupted config error.,INFRA
L'acheteur fait un scandale et il part à la concurrence.,The buyer is making a scene and he goes to competition.,BUSINESS
Le namespace ne monte pas le volume sur le noeud master.,The namespace does not mount volume on the master node.,INFRA
Un déni de service cible le load balancer mitigation en cours.,A denial of service targets the load balancer mitigation in progress.,CYBER
L'image Docker est en état CrashLoopBackOff erreur de config.,The Docker image is in CrashLoopBackOff state config error.,INFRA
Le kubelet ne démarre pas vérifie le fichier yaml.,The kubelet does not start check yaml file.,INFRA
Le pod a crashé sur le noeud master.,The pod crashed on the master node.,INFRA
Le noyau Linux renvoie une erreur OOMKilled vérifie le fichier yaml.,The Linux kernel returns an OOMKilled error check yaml file.,INFRA
Le service systemd ne monte pas le volume problème de ressources.,The systemd service does not mount volume resource issue.,INFRA
Le cluster K8s ne monte pas le volume logs inaccessibles.,The K8s cluster does not mount volume logs inaccessible.,INFRA
La syntaxe est invalide dans la boucle.,The syntax is invalid in the loop.,TECH
Le prospect est furieux à cause du retard.,The prospect is furious because of the delay.,BUSINESS
Le client est furieux sur le dossier en cours.,The client is furious on the current file.,BUSINESS
Le botnet bombarde le serveur mitigation en cours.,The botnet bombs the server mitigation in progress.,CYBER
Le prospect refuse de payer sur le dossier en cours.,The prospect refuses to pay on the current file.,BUSINESS
Le pod a crashé erreur de config.,The pod crashed config error.,INFRA
Un déni de service fait tomber le site c'est massif.,A denial of service takes down the site it is massive.,CYBER
Un déni de service bombarde le serveur trafic sortant bloqué.,A denial of service bombs the server outgoing traffic blocked.,CYBER
Le cluster K8s renvoie une erreur OOMKilled vérifie le fichier yaml.,The K8s cluster returns an OOMKilled error check yaml file.,INFRA
Le cluster K8s a fait un kernel panic erreur de config.,The K8s cluster caused a kernel panic config error.,INFRA
Le grand compte demande un remboursement car le service est nul.,The key account asks for a refund because the service sucks.,BUSINESS
L'acheteur est très mécontent il faut l'appeler d'urgence.,The buyer is very dissatisfied must call him urgently.,BUSINESS
Le grand compte veut résilier son contrat à cause du retard.,The key account wants to terminate his contract because of the delay.,BUSINESS
Le namespace ne monte pas le volume après la mise à jour.,The namespace does not mount volume after update.,INFRA
Le prospect fait un scandale suite à la panne.,The prospect is making a scene following the outage.,BUSINESS
Le directeur est furieux à cause du retard.,The director is furious because of the delay.,BUSINESS
L'acheteur fait un scandale c'est inadmissible.,The buyer is making a scene it is unacceptable.,BUSINESS
Le cluster K8s a fait un kernel panic logs inaccessibles.,The K8s cluster caused a kernel panic logs inaccessible.,INFRA
L'acheteur veut résilier son contrat suite à la panne.,The buyer wants to terminate his contract following the outage.,BUSINESS
Une attaque volumétrique cible le load balancer depuis des IP chinoises.,A volumetric attack targets the load balancer from Chinese IPs.,CYBER
L'acheteur refuse de payer sur le dossier en cours.,The buyer refuses to pay on the current file.,BUSINESS
Une attaque volumétrique fait tomber le site sur l'IP publique.,A volumetric attack takes down the site on public IP.,CYBER
Le cluster K8s ne démarre pas logs inaccessibles.,The K8s cluster does not start logs inaccessible.,INFRA
Une attaque DDoS a submergé le firewall trafic sortant bloqué.,A DDoS attack overwhelmed the firewall outgoing traffic blocked.,CYBER
Le grand compte est furieux et il part à la concurrence.,The key account is furious and he goes to competition.,BUSINESS
Le kubelet renvoie une erreur OOMKilled logs inaccessibles.,The kubelet returns an OOMKilled error logs inaccessible.,INFRA
Le namespace ne démarre pas erreur de config.,The namespace does not start config error.,INFRA
Le client gueule au téléphone car le service est nul.,The client is yelling on the phone because the service sucks.,BUSINESS
Le service systemd renvoie une erreur OOMKilled erreur de config.,The systemd service returns an OOMKilled error config error.,INFRA
Le botnet provocant un black-out trafic sortant bloqué.,The botnet causing a blackout outgoing traffic blocked.,CYBER
Le pod renvoie une erreur OOMKilled logs inaccessibles.,The pod returns an OOMKilled error logs inaccessible.,INFRA
L'image Docker doit être redémarré(e) vérifie le fichier yaml.,The Docker image must be restarted check yaml file.,INFRA
L'image Docker ne monte pas le volume logs inaccessibles.,The Docker image does not mount volume logs inaccessible.,INFRA
Le trafic illégitime est détecté(e) par l'anti-DDoS impact critique.,Illegitimate traffic is detected by anti-DDoS critical impact.,CYBER
Un déni de service provocant un black-out depuis des IP chinoises.,A denial of service causing a blackout from Chinese IPs.,CYBER
Le directeur gueule au téléphone car le service est nul.,The director is yelling on the phone because the service sucks.,BUSINESS
L'acheteur menace de partir c'est inadmissible.,The buyer threatens to leave it is unacceptable.,BUSINESS
Un déni de service bombarde le serveur depuis des IP chinoises.,A denial of service bombs the server from Chinese IPs.,CYBER
Un flood SYN provocant un black-out depuis des IP chinoises.,A SYN flood causing a blackout from Chinese IPs.,CYBER
Une attaque par amplification bombarde le serveur depuis des IP chinoises.,Amplification attack bombs the server from Chinese IPs.,CYBER
Le pod a fait un kernel panic vérifie le fichier yaml.,The pod caused a kernel panic check yaml file.,INFRA
Un flood SYN sature la bande passante sur l'IP publique.,A SYN flood saturates bandwidth on public IP.,CYBER
Le cluster K8s renvoie une erreur OOMKilled après la mise à jour.,The K8s cluster returns an OOMKilled error after update.,INFRA
Le prospect est hors de lui c'est inadmissible.,The prospect is beside himself it is unacceptable.,BUSINESS
Le kubelet ne monte pas le volume problème de ressources.,The kubelet does not mount volume resource issue.,INFRA
Un déni de service bombarde le serveur mitigation en cours.,A denial of service bombs the server mitigation in progress.,CYBER
Le cluster K8s a fait un kernel panic vérifie le fichier yaml.,The K8s cluster caused a kernel panic check yaml file.,INFRA
Le namespace a fait un kernel panic problème de ressources.,The namespace caused a kernel panic resource issue.,INFRA
Le client a envoyé une mise en demeure c'est inadmissible.,The client sent a formal notice it is unacceptable.,BUSINESS
Le kubelet a crashé sur le noeud master.,The kubelet crashed on the master node.,INFRA
Le conteneur renvoie une erreur OOMKilled problème de ressources.,The container returns an OOMKilled error resource issue.,INFRA
L'acheteur gueule au téléphone c'est inadmissible.,The buyer is yelling on the phone it is unacceptable.,BUSINESS
Le botnet cible le load balancer c'est massif.,The botnet targets the load balancer it is massive.,CYBER
Le directeur a envoyé une mise en demeure et il part à la concurrence.,The director sent a formal notice and he goes to competition.,BUSINESS
Le démon renvoie une erreur OOMKilled vérifie le fichier yaml.,The daemon returns an OOMKilled error check yaml file.,INFRA
Le client VIP a envoyé une mise en demeure et il part à la concurrence.,The VIP client sent a formal notice and he goes to competition.,BUSINESS
Le pod a crashé problème de ressources.,The pod crashed resource issue.,INFRA
L'acheteur est furieux sur le dossier en cours.,The buyer is furious on the current file.,BUSINESS
L'acheteur a envoyé une mise en demeure à cause du retard.,The buyer sent a formal notice because of the delay.,BUSINESS
L'acheteur demande un remboursement sur le dossier en cours.,The buyer asks for a refund on the current file.,BUSINESS
Un flood SYN est détecté(e) par l'anti-DDoS trafic sortant bloqué.,A SYN flood is detected by anti-DDoS outgoing traffic blocked.,CYBER
Le directeur a envoyé une mise en demeure à cause du retard.,The director sent a formal notice because of the delay.,BUSINESS
Le trafic illégitime bombarde le serveur c'est massif.,Illegitimate traffic bombs the server it is massive.,CYBER
Le service systemd doit être redémarré(e) vérifie le fichier yaml.,The systemd service must be restarted check yaml file.,INFRA
Le grand compte a envoyé une mise en demeure sur le dossier en cours.,The key account sent a formal notice on the current file.,BUSINESS
Le service systemd est corrompu(e) sur le noeud master.,The systemd service is corrupted on the master node.,INFRA
