Phrase_FR,Phrase_EN,Topic
La requête http n'est pas typé(e) pour cause de syntaxe.,The http request is not typed due to syntax.,TECH
Le management une rupture conventionnelle selon le règlement intérieur.,The management a mutual termination according to internal rules.,HR_COMPLAINT
Le certificat ssl tente une connexion sur le serveur dmz.,Ssl certificate attempts connection on the dmz server.,CYBER
Une procédure est inacceptable au sein du bureau.,A procedure is unacceptable within the office.,HR_COMPLAINT
L'avoir doit être régularisé(e) dans le logiciel comptable.,The credit note must be adjusted in the accounting software.,ACCOUNTING
Ce comportement ne respecte pas le droit vis-à-vis de ma sécurité.,This behavior does not respect the law regarding my safety.,HR_COMPLAINT
Un payload scanne le réseau sur le serveur dmz.,A payload scans the network on the dmz server.,CYBER
Le niveau de rémunération est de 45k pour ce poste senior.,Compensation level is 45k for this senior role.,HR_HIRING
L'autre idiot est complètement nul c'est hallucinant.,The other idiot is completely useless it's mind-blowing.,GOSSIP
Valide le plafond de paiement je suis à découvert.,Validate the payment limit i am overdrawn.,BANKING
Valide les frais bancaires c'est une fraude.,Validate bank fees it is a fraud.,BANKING
La liasse fiscale n'est pas à jour dans le journal des achats.,The tax package is not up to date in the purchase journal.,ACCOUNTING
La grille de salaire est en dessous du marché selon ton profil.,The salary grid is below market depending on your profile.,HR_HIRING
Les prétentions salariales a été validé(e) selon ton profil.,Salary expectations has been validated depending on your profile.,HR_HIRING
Le câble réseau perd des paquets cause ralentissement.,The network cable is losing packets causing slowdown.,INFRA
L'opportunité doit être envoyé(e) pour atteindre l'objectif.,The opportunity must be sent to hit the target.,BUSINESS
L'actif circulant a été rejeté(e) dans le journal des achats.,The current assets was rejected in the purchase journal.,ACCOUNTING
C'est m'en occupe pour moi.,It is handle it for me.,MISC
C'est noté pas de souci.,It is noted no worries.,MISC
L'appel d'offres est stratégique selon les termes discutés.,The tender is strategic according to discussed terms.,BUSINESS
Je demande ne respecte pas le droit et je vais saisir les rh.,I request does not respect the law and i will contact hr.,HR_COMPLAINT
Le certificat ssl subit une attaque tentative de phishing.,Ssl certificate is under attack phishing attempt.,CYBER
Le commit est asynchrone pour cause de syntaxe.,The commit is asynchronous due to syntax.,TECH
Ce type est incompétent il est bizarre.,That guy is incompetent he is weird.,GOSSIP
Je marche à plus.,I works see you.,MISC
Le virement les frais bancaires immédiatement.,The transfer bank fees immediately.,BANKING
Le log d'accès scanne le réseau depuis une ip inconnue.,The access log scans the network from an unknown ip.,CYBER
Plein de te serrer dans mes bras mon amour.,Lots of hold you in my arms my love.,LOVE
Le cluster est déconnecté dans la salle serveur.,The cluster is disconnected in the server room.,INFRA
L'offre d'embauche peut être négocié(e) avec un bonus sur objectifs.,The job offer can be negotiated with a performance bonus.,HR_HIRING
Tout vu tout de suite.,Everything seen right away.,MISC
Refuse mon virement le solde est insuffisant.,Decline my transfer the balance is insufficient.,BANKING
La prime de bienvenue a été validé(e) dans le contrat de travail.,The signing bonus has been validated in the employment contract.,HR_HIRING
Le switch est down sur le noeud principal.,The switch is down on the main node.,INFRA
Le compilateur renvoie une erreur pour cause de syntaxe.,The compiler returns an error due to syntax.,TECH
Le disque dur ne répond plus problème de ping.,The hard drive is not responding ping issue.,INFRA
Plein de retrouver très fort.,Lots of meet you very much.,LOVE
Le client nécessite une remise avec une clause de sortie.,The client requires a discount with an exit clause.,BUSINESS
Le script python provoque un segfault à l'exécution.,The python script causes a segfault at runtime.,TECH
Ma carte les frais bancaires sans contact.,My card bank fees contactless.,BANKING
L'actif circulant n'est pas lettré(e) selon les normes ifrs.,The current assets is not reconciled according to ifrs standards.,ACCOUNTING
Le closing est en bonne voie avec une clause de sortie.,The closing is on the right track with an exit clause.,BUSINESS
