french_sentence,topic
Je t'envoie la facture proforma pour validation,ACCOUNTING
Le bilan de cette année est plutôt solide,ACCOUNTING
Tu as reçu le P&L du mois dernier ?,ACCOUNTING
Il faut recalculer l'amortissement sur ces machines,ACCOUNTING
Les auditeurs arrivent lundi pour le contrôle annuel,ACCOUNTING
On doit préparer la liasse fiscale avant la fin du mois,ACCOUNTING
La marge brute a baissé au troisième trimestre,ACCOUNTING
Je suis charrette sur la clôture comptable,ACCOUNTING
L'EBITDA est au-dessus des prévisions,ACCOUNTING
N'oublie pas de soumettre ta note de frais,ACCOUNTING
J'ai besoin des justifs pour la TVA,ACCOUNTING
On passe ça en charges ou en immo ?,ACCOUNTING
Le reporting financier doit être prêt pour le board,ACCOUNTING
Il y a un écart dans le grand livre,ACCOUNTING
Peux-tu vérifier la provision pour risques ?,ACCOUNTING
La facture est en attente de comptabilisation,ACCOUNTING
On a un souci de réconciliation inter-compagnie,ACCOUNTING
Le cash flow opérationnel est positif,ACCOUNTING
Il faut mettre à jour le tableau des immobilisations,ACCOUNTING
Les écritures de régularisation sont faites,ACCOUNTING
Tu as le code analytique pour ce projet ?,ACCOUNTING
La déclaration de TVA a été rejetée,ACCOUNTING
On doit auditer les comptes fournisseurs,ACCOUNTING
Le résultat net est impacté par les impôts différés,ACCOUNTING
Envoie-moi le grand livre auxiliaire,ACCOUNTING
Les capitaux propres ont augmenté cette année,ACCOUNTING
Il manque la facture du consultant dans le système,ACCOUNTING
Le seuil de rentabilité n'est pas encore atteint,ACCOUNTING
C'est une charge déductible fiscalement,ACCOUNTING
On doit revoir les provisions pour créances douteuses,ACCOUNTING
La clôture annuelle va être compliquée,ACCOUNTING
Le commissaire aux comptes demande ce fichier,ACCOUNTING
Tu as scanné les notes de frais de l'équipe ?,ACCOUNTING
L'actif circulant est supérieur au passif,ACCOUNTING
On a reçu un redressement fiscal,ACCOUNTING
Calcule le retour sur investissement (ROI) pour ce projet,ACCOUNTING
La balance âgée montre trop de retards,ACCOUNTING
C'est une erreur d'affectation comptable,ACCOUNTING
Le prévisionnel de trésorerie semble juste,ACCOUNTING
Je dois solder les comptes d'attente,ACCOUNTING
La dépréciation des stocks est trop élevée,ACCOUNTING
On attend la validation du directeur financier,ACCOUNTING
Les charges constatées d'avance sont à jour,ACCOUNTING
C'est lié à l'exercice comptable précédent,ACCOUNTING
Tu as vérifié les taux de change pour la consolidation ?,ACCOUNTING
La marge opérationnelle est stable,ACCOUNTING
Il faut sortir les rapports de gestion,ACCOUNTING
Les frais généraux augmentent trop vite,ACCOUNTING
On doit payer l'acompte d'IS,ACCOUNTING
La facture n'a pas le bon numéro de commande,ACCOUNTING
Le bilan consolidé est prêt pour signature,ACCOUNTING
Il faut ventiler les coûts par département,ACCOUNTING
Les stocks sont valorisés au coût moyen pondéré,ACCOUNTING
J'ai un écart de conversion sur ce compte,ACCOUNTING
Le cut-off des ventes est incorrect,ACCOUNTING
Vérifie la saisie des opérations diverses,ACCOUNTING
Les dotations aux amortissements sont fausses,ACCOUNTING
On doit préparer le budget prévisionnel (Capex),ACCOUNTING
La TVA déductible est supérieure à la TVA collectée,ACCOUNTING
Le rapport d'audit interne est sévère,ACCOUNTING
C'est une dépense non récurrente,ACCOUNTING
Tu peux m'extraire le journal des achats ?,ACCOUNTING
Les passifs éventuels doivent être mentionnés,ACCOUNTING
On a besoin d'une situation comptable intermédiaire,ACCOUNTING
Le coût de revient est mal calculé,ACCOUNTING
Les notes annexes du bilan sont incomplètes,ACCOUNTING
Il faut justifier cet écart d'inventaire,ACCOUNTING
La comptabilité analytique ne matche pas la générale,ACCOUNTING
"C'est une facture d'avoir, pas de doit",ACCOUNTING
Le recouvrement des créances est trop lent,ACCOUNTING
On doit déclarer la taxe sur les salaires,ACCOUNTING
L'exercice fiscal se termine le 31 décembre,ACCOUNTING
Les frais de déplacement sont plafonnés,ACCOUNTING
J'ai besoin du détail des charges sociales,ACCOUNTING
Le résultat d'exploitation est en hausse,ACCOUNTING
Il faut archiver les pièces comptables,ACCOUNTING
La révision des comptes prend du temps,ACCOUNTING
C'est une opération hors bilan,ACCOUNTING
Le ratio d'endettement est inquiétant,ACCOUNTING
Vérifie si la facture est bien lettrée,ACCOUNTING
Les capitaux propres sont négatifs,ACCOUNTING
On doit calculer la participation des salariés,ACCOUNTING
Le grand livre ne balance pas,ACCOUNTING
C'est une provision pour litige,ACCOUNTING
La valeur nette comptable est nulle,ACCOUNTING
Il faut réintégrer cette charge fiscalement,ACCOUNTING
Le dossier de révision est sur le drive,ACCOUNTING
Les flux de trésorerie sont tendus,ACCOUNTING
On a dépassé le budget marketing,ACCOUNTING
C'est une erreur de saisie dans le journal de banque,ACCOUNTING
La balance des tiers n'est pas juste,ACCOUNTING
Le bénéfice net a chuté de 10%,ACCOUNTING
Il faut provisionner les congés payés,ACCOUNTING
La liasse fiscale doit être télétransmise,ACCOUNTING
J'attends le reporting consolidé du groupe,ACCOUNTING
Le coût des ventes (COGS) est trop haut,ACCOUNTING
Vérifie l'annexe comptable,ACCOUNTING
La facturation est bloquée en compta,ACCOUNTING
C'est un ajustement de fin d'année,ACCOUNTING
Le plan comptable a changé,ACCOUNTING
Veuillez trouver ci-joint le bilan financier de l'exercice clos,ACCOUNTING
Je vous prie de bien vouloir valider la facture rectificative,ACCOUNTING
Nous devons procéder à l'audit légal des comptes annuels,ACCOUNTING
L'administration fiscale a envoyé une demande d'éclaircissement,ACCOUNTING
Je vous confirme que les amortissements ont été comptabilisés,ACCOUNTING
Pourriez-vous me transmettre le détail du compte de résultat ?,ACCOUNTING
Nous avons constaté un écart significatif dans la marge brute,ACCOUNTING
La clôture comptable mensuelle est prévue pour ce vendredi,ACCOUNTING
Il convient de vérifier les provisions pour risques et charges,ACCOUNTING
Je vous saurais gré de signer la déclaration de TVA,ACCOUNTING
L'excédent brut d'exploitation semble conforme aux attentes,ACCOUNTING
Veuillez noter que les notes de frais doivent être justifiées,ACCOUNTING
Nous sommes dans l'attente du rapport du commissaire aux comptes,ACCOUNTING
Il est impératif de respecter le principe de prudence comptable,ACCOUNTING
La trésorerie nette a été calculée avec précision,ACCOUNTING
Les capitaux propres ont été affectés par le résultat négatif,ACCOUNTING
Nous vous transmettons le grand livre pour analyse,ACCOUNTING
