Phrase_FR,Phrase_EN,Topic
Le virus se propage dans le système.,The virus is spreading in the system.,CYBER
Elle a fait n'importe quoi.,She did nonsense.,GOSSIP
Intrusion détectée sur le périmètre.,Intrusion detected on the perimeter.,CYBER
Il code avec le cul ce sysadmin.,He codes like shit this sysadmin.,GOSSIP
Elle a fait n'importe quoi.,She did nonsense.,GOSSIP
La masse salariale est fausse.,Payroll costs is wrong.,ACCOUNTING
Plein de bisous partout.,Lots of kisses everywhere.,LOVE
C'est validé.,It is validated.,MISC
Viens contre moi.,Come close to me.,LOVE
L'injection SQL chiffre les données.,SQL injection encrypts data.,CYBER
C'est un développeur médiocre.,He is a mediocre developer.,GOSSIP
Plafond atteint.,Limit reached.,BANKING
Violation de l'intégrité du serveur.,Server integrity violation.,CYBER
L'attaquant a pénétré le réseau.,The attacker penetrated the network.,CYBER
Compromission du compte admin.,Admin account compromise.,CYBER
Le package inclut des primes.,The package includes bonuses.,HR_HIRING
Objectif atteint.,Target reached.,BUSINESS
J'ai envie de te serrer dans mes bras.,I want to hold you in my arms.,LOVE
Je me sens harcelé.,I feel harassed.,HR_COMPLAINT
Le virus se propage dans le système.,The virus is spreading in the system.,CYBER
L'écriture de paie est provisionnée.,Payroll entry is accrued.,ACCOUNTING
Elle a fait n'importe quoi.,She did nonsense.,GOSSIP
"Putain, le serveur a crashé.","Damn, the server crashed.",TECH
Compromission du compte admin.,Admin account compromise.,CYBER
"Merde, cette lib est buggée.","Shit, this lib is buggy.",TECH
Quel incompétent le stagiaire.,What an incompetent the intern.,GOSSIP
Je t'embrasse très fort.,I kiss you very hard.,LOVE
Tu me manques physiquement.,I miss you physically.,LOVE
Viens contre moi.,Come close to me.,LOVE
L'attaquant a pénétré le réseau.,The attacker penetrated the network.,CYBER
La rémunération est négociable.,The compensation is negotiable.,HR_HIRING
Le package inclut des primes.,The package includes bonuses.,HR_HIRING
Le virus se propage dans le système.,The virus is spreading in the system.,CYBER
Plein de bisous partout.,Lots of kisses everywhere.,LOVE
Je t'embrasse très fort.,I kiss you very hard.,LOVE
Disque dur saturé.,Hard drive full.,INFRA
Le virus se propage dans le système.,The virus is spreading in the system.,CYBER
Plein de bisous partout.,Lots of kisses everywhere.,LOVE
Violation de l'intégrité du serveur.,Server integrity violation.,CYBER
J'ai envie de te serrer dans mes bras.,I want to hold you in my arms.,LOVE
L'attaquant a pénétré le réseau.,The attacker penetrated the network.,CYBER
L'injection SQL chiffre les données.,SQL injection encrypts data.,CYBER
"Fait chier, cette lib est buggée.","Damn it, this lib is buggy.",TECH
Violation de l'intégrité du serveur.,Server integrity violation.,CYBER
Je me sens harcelé.,I feel harassed.,HR_COMPLAINT
C'est validé.,It is validated.,MISC
Le package est négociable.,The package is negotiable.,HR_HIRING
Plein de bisous partout.,Lots of kisses everywhere.,LOVE
Les charges sociales doit être passée.,Social charges must be booked.,ACCOUNTING
Violation de l'intégrité du serveur.,Server integrity violation.,CYBER
Le package inclut des primes.,The package includes bonuses.,HR_HIRING
Ma carte est bloquée.,My card is blocked.,BANKING
La provision CP est fausse.,Holiday accruals is wrong.,ACCOUNTING
Je me sens harcelé.,I feel harassed.,HR_COMPLAINT
"Merde, le build a échoué.","Shit, the build failed.",TECH
Je t'embrasse très fort.,I kiss you very hard.,LOVE
C'est un abruti mon manager.,He is a moron my manager.,GOSSIP
Le port 80 est bloqué.,Port 80 is blocked.,INFRA
"Fait chier, le serveur a crashé.","Damn it, the server crashed.",TECH
Plein de bisous partout.,Lots of kisses everywhere.,LOVE
Le virus se propage dans le système.,The virus is spreading in the system.,CYBER
Je t'embrasse très fort.,I kiss you very hard.,LOVE
Viens contre moi.,Come close to me.,LOVE
La charge utile est confirmée.,The payload is confirmed.,CYBER
"Putain, j'ai une NullPointer.","Damn, I have a NullPointer.",TECH
Elle a fait n'importe quoi.,She did nonsense.,GOSSIP
La rémunération inclut des primes.,The compensation includes bonuses.,HR_HIRING
Le code ne respecte pas la PEP8.,Code does not respect PEP8.,TECH
Intrusion détectée sur le périmètre.,Intrusion detected on the perimeter.,CYBER
La rémunération peut augmenter.,The compensation can increase.,HR_HIRING
Le port 80 est bloqué.,Port 80 is blocked.,INFRA
Plafond atteint.,Limit reached.,BANKING
L'exfiltration cible le port 443.,Exfiltration targets port 443.,CYBER
Tu me manques physiquement.,I miss you physically.,LOVE
