Phrase,English_Equivalent,Topic
Au fait ma puce j'ai fait à manger.,By the way honey I made dinner.,LOVE
A p d,v e é,ACCOUNTING
Coucou mon ange tu rentres à quelle heure ?,Hey my angel what time are you coming home?,LOVE
Ça va bébé tu me manques.,How are you baby I miss you.,LOVE
"N c, o","o o, p",INFRA
fais de beaux rêves. ma chérie à demain.,sweet dreams. darling see you tomorrow.,LOVE
Je n'ai plus de batterie sur mon téléphone.,I ran out of battery on my phone.,MISC
A t s,v u i,ACCOUNTING
Salut ma vie je pense à toi.,Hi my life I'm thinking of you.,LOVE
Coucou ma chérie appelle-moi quand tu peux.,Hey darling call me when you can.,LOVE
J p d,e e é,ACCOUNTING
"N g, s","o a, u",INFRA
Bonsoir ma vie bon appétit.,Good evening my life enjoy your meal.,LOVE
E j d,n e é,ACCOUNTING
Hello bébé j'ai fait à manger.,Hello baby I made dinner.,LOVE
D j d,é e é,TECH
A j d,v ' é,TECH
tu rentres à quelle heure ? mon cœur à demain.,what time are you coming home? sweetheart see you tomorrow.,LOVE
Au fait ma puce je pense à toi.,By the way honey I'm thinking of you.,LOVE
fais de beaux rêves. ma puce à demain.,sweet dreams. honey see you tomorrow.,LOVE
Coucou ma chérie tu rentres à quelle heure ?,Hey darling what time are you coming home?,LOVE
J t c,e u ',ACCOUNTING
Coucou mon amour fais de beaux rêves.,Hey my love sweet dreams.,LOVE
Hello trésor tu rentres à quelle heure ?,Hello treasure what time are you coming home?,LOVE
Dis-moi trésor tu as bien dormi ?,Tell me treasure did you sleep well?,LOVE
appelle-moi quand tu peux. ma puce à demain.,call me when you can. honey see you tomorrow.,LOVE
E t c,n u ',ACCOUNTING
j'ai fait à manger. bébé à demain.,I made dinner. baby see you tomorrow.,LOVE
F c,r ',GOSSIP
Hello mon cœur tu rentres à quelle heure ?,Hello sweetheart what time are you coming home?,LOVE
Bonsoir mon ange fais de beaux rêves.,Good evening my angel sweet dreams.,LOVE
tu as bien dormi ? mon ange à demain.,did you sleep well? my angel see you tomorrow.,LOVE
"L t, s","e o, u",INFRA
appelle-moi quand tu peux. ma chérie à demain.,call me when you can. darling see you tomorrow.,LOVE
tu rentres à quelle heure ? bébé à demain.,what time are you coming home? baby see you tomorrow.,LOVE
Dis-moi mon ange je pense à toi.,Tell me my angel I'm thinking of you.,LOVE
j'ai fait à manger. trésor à demain.,I made dinner. treasure see you tomorrow.,LOVE
tu me manques. ma chérie à demain.,I miss you. darling see you tomorrow.,LOVE
J t s,e u i,ACCOUNTING
je pense à toi. mon ange à demain.,I'm thinking of you. my angel see you tomorrow.,LOVE
F e,r l,GOSSIP
Hello ma chérie tu me manques.,Hello darling I miss you.,LOVE
Dis-moi bébé j'ai fait à manger.,Tell me baby I made dinner.,LOVE
C'est pas mes oignons mais ça coûte cher.,It's none of my business but it's expensive.,MISC
Salut trésor tu me manques.,Hi treasure I miss you.,LOVE
j'ai fait à manger. ma puce à demain.,I made dinner. honey see you tomorrow.,LOVE
D i s,é l i,TECH
Yo ma vie j'ai fait à manger.,Yo my life I made dinner.,LOVE
"L s, s","e o, u",INFRA
C j,' e,HR_COMPLAINT
E p d,n e é,ACCOUNTING
J i m,e l e,ACCOUNTING
Coucou mon amour tu me manques.,Hey my love I miss you.,LOVE
tu rentres à quelle heure ? mon ange à demain.,what time are you coming home? my angel see you tomorrow.,LOVE
je pense à toi. trésor à demain.,I'm thinking of you. treasure see you tomorrow.,LOVE
Hello mon amour tu rentres à quelle heure ?,Hello my love what time are you coming home?,LOVE
Yo ma puce je pense à toi.,Yo honey I'm thinking of you.,LOVE
E t d,n u é,ACCOUNTING
"N g, o","o a, p",INFRA
J j c,e ' ',TECH
Dis-moi mon amour tu rentres à quelle heure ?,Tell me my love what time are you coming home?,LOVE
Hello mon cœur j'ai fait à manger.,Hello sweetheart I made dinner.,LOVE
D l c,é a ',ACCOUNTING
A j s,v ' i,TECH
Yo ma puce tu as bien dormi ?,Yo honey did you sleep well?,LOVE
Bonsoir ma vie tu me manques.,Good evening my life I miss you.,LOVE
Au fait mon cœur j'ai fait à manger.,By the way sweetheart I made dinner.,LOVE
Ça va ma puce tu rentres à quelle heure ?,How are you honey what time are you coming home?,LOVE
"L s, p","e o, a",INFRA
A p s,v e i,ACCOUNTING
Au fait mon amour fais de beaux rêves.,By the way my love sweet dreams.,LOVE
"N g, p","o a, a",INFRA
A j m,v ' e,TECH
Ça va mon cœur j'ai fait à manger.,How are you sweetheart I made dinner.,LOVE
Dis-moi trésor fais de beaux rêves.,Tell me treasure sweet dreams.,LOVE
