Phrase,English_Equivalent,Topic
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Arrête de sauvegarder le fichier.,Stop saving the file.,MISC
Arrête de backup la base de données.,Stop backuping the database.,TECH
Franchement elle porte une cravate.,Honestly she wears a tie.,MISC
Franchement elle s'habille n'importe comment.,Honestly she dresses terribly.,GOSSIP
Coucou toi tu fais quoi ?,Hey toi what are you doing?,MISC
Coucou mon coeur tu fais quoi ?,Hey sweetheart what are you doing?,LOVE
Arrête de partager l'écran.,Stop sharing the screen.,MISC
Arrête de pusher sur master.,Stop pushing to master.,TECH
Tu as vu ? Il est un collègue.,Did you see? He is a colleague.,MISC
Tu as vu ? Il est un lèche-bottes.,Did you see? He is a bootlicker.,GOSSIP
J'ai hâte de te voir .,Can't wait to see you .,MISC
J'ai hâte de te voir mon trésor.,Can't wait to see you my treasure.,LOVE
N'oublie pas de cliquer sur le lien.,Don't forget to click on the link.,MISC
N'oublie pas de déployer en prod.,Don't forget to deploy to prod.,TECH
Tu as vu ? Il est un collègue.,Did you see? He is a colleague.,MISC
Tu as vu ? Il est un lèche-bottes.,Did you see? He is a bootlicker.,GOSSIP
Salut ça va ?,Hi how are you?,MISC
Salut bébé ça va ?,Hi baby how are you?,LOVE
Tu peux partager l'écran ?,Can you share the screen?,MISC
Tu peux pusher sur master ?,Can you push to master?,TECH
Tu as vu ? Il a posé une question.,Did you see? He asked a question.,MISC
Tu as vu ? Il est vraiment stupide.,Did you see? He is really stupid.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Tu peux fermer la fenêtre ?,Can you close the window?,MISC
Tu peux tuer le process ?,Can you kill the process?,TECH
Franchement elle est fatigué.,Honestly she is tired.,MISC
Franchement elle est complètement défoncé.,Honestly she is completely high.,GOSSIP
J'ai hâte de te voir .,Can't wait to see you .,MISC
J'ai hâte de te voir mon trésor.,Can't wait to see you my treasure.,LOVE
N'oublie pas de cliquer sur le lien.,Don't forget to click on the link.,MISC
N'oublie pas de déployer en prod.,Don't forget to deploy to prod.,TECH
Tu as vu ? Il a eu une promotion.,Did you see? He got a promotion.,MISC
Tu as vu ? Il a couché pour réussir.,Did you see? He slept their way up.,GOSSIP
Prends soin de toi .,Take care .,MISC
Prends soin de toi mon amour.,Take care my love.,LOVE
Arrête de vérifier le document.,Stop checking the document.,MISC
Arrête de tester la branche.,Stop testing the branch.,TECH
Elle a mangé au resto c'est sûr.,She ate at the restaurant for sure.,MISC
Elle a trop bu ce midi c'est sûr.,She drank too much at lunch for sure.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Arrête de vérifier le document.,Stop checking the document.,MISC
Arrête de tester la branche.,Stop testing the branch.,TECH
Elle est dans son bureau c'est sûr.,She is in his office for sure.,MISC
Elle ne fout rien dans son bureau c'est sûr.,She does nothing in his office for sure.,GOSSIP
Je pense à ça ce soir.,I'm thinking of ça tonight.,MISC
Je pense à toi mon amour ce soir.,I'm thinking of you my love tonight.,LOVE
Arrête de changer la date.,Stop changing the date.,MISC
Arrête de mettre à jour l'API.,Stop updating the API.,TECH
Il fait son travail.,He does his job.,MISC
Il est incompétent.,He is incompetent.,GOSSIP
J'ai hâte de te voir .,Can't wait to see you .,MISC
J'ai hâte de te voir mon trésor.,Can't wait to see you my treasure.,LOVE
Arrête de regarder ça.,Stop look ating this.,MISC
Arrête de debuguer ça.,Stop debuging this.,TECH
Il est fatigué.,He is tired.,MISC
Il est complètement défoncé.,He is completely high.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Arrête de lire le message.,Stop reading the message.,MISC
Arrête de parser le JSON.,Stop parsing the JSON.,TECH
Elle est fatigué c'est sûr.,She is tired for sure.,MISC
Elle est complètement défoncé c'est sûr.,She is completely high for sure.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Arrête de regarder ça.,Stop look ating this.,MISC
Arrête de debuguer ça.,Stop debuging this.,TECH
Franchement elle fait son travail.,Honestly she does his job.,MISC
Franchement elle est incompétent.,Honestly she is incompetent.,GOSSIP
Merci pour ton aide.,Thanks for your help.,MISC
Merci ma chérie pour ton aide.,Thanks darling for your help.,LOVE
N'oublie pas de sauvegarder le fichier.,Don't forget to save the file.,MISC
N'oublie pas de backup la base de données.,Don't forget to backup the database.,TECH
Il fait son travail.,He does his job.,MISC
Il est incompétent.,He is incompetent.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Arrête de envoyer le dossier.,Stop sending the folder.,MISC
Arrête de commit le code.,Stop commiting the code.,TECH
Elle est un collègue c'est sûr.,She is a colleague for sure.,MISC
Elle est un lèche-bottes c'est sûr.,She is a bootlicker for sure.,GOSSIP
Bonne nuit à demain.,Good night see you tomorrow.,MISC
Bonne nuit mon ange à demain.,Good night my angel see you tomorrow.,LOVE
N'oublie pas de regarder ça.,Don't forget to look at this.,MISC
N'oublie pas de debuguer ça.,Don't forget to debug this.,TECH
Elle est parti tôt c'est sûr.,She left early for sure.,MISC
Elle a encore séché le travail c'est sûr.,She skipped work again for sure.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
N'oublie pas de envoyer le dossier.,Don't forget to send the folder.,MISC
N'oublie pas de commit le code.,Don't forget to commit the code.,TECH
Elle a mangé au resto c'est sûr.,She ate at the restaurant for sure.,MISC
Elle a trop bu ce midi c'est sûr.,She drank too much at lunch for sure.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Il faut regarder ça avant de partir.,We must look at this before leaving.,MISC
Il faut debuguer ça avant de partir.,We must debug this before leaving.,TECH
Il a eu une promotion.,He got a promotion.,MISC
Il a couché pour réussir.,He slept their way up.,GOSSIP
Prends soin de toi .,Take care .,MISC
Prends soin de toi mon amour.,Take care my love.,LOVE
Tu peux envoyer le dossier ?,Can you send the folder?,MISC
Tu peux commit le code ?,Can you commit the code?,TECH
Il est dans son bureau.,He is in his office.,MISC
Il ne fout rien dans son bureau.,He does nothing in his office.,GOSSIP
À plus tard .,See you later .,MISC
À plus tard ma belle.,See you later beautiful.,LOVE
N'oublie pas de lire le message.,Don't forget to read the message.,MISC
N'oublie pas de parser le JSON.,Don't forget to parse the JSON.,TECH
Elle est dans son bureau c'est sûr.,She is in his office for sure.,MISC
Elle ne fout rien dans son bureau c'est sûr.,She does nothing in his office for sure.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
N'oublie pas de cliquer sur le lien.,Don't forget to click on the link.,MISC
N'oublie pas de déployer en prod.,Don't forget to deploy to prod.,TECH
Il porte une cravate.,He wears a tie.,MISC
Il s'habille n'importe comment.,He dresses terribly.,GOSSIP
Prends soin de toi .,Take care .,MISC
Prends soin de toi mon amour.,Take care my love.,LOVE
Il faut partager l'écran avant de partir.,We must share the screen before leaving.,MISC
Il faut pusher sur master avant de partir.,We must push to master before leaving.,TECH
Il porte une cravate.,He wears a tie.,MISC
Il s'habille n'importe comment.,He dresses terribly.,GOSSIP
Bonne nuit à demain.,Good night see you tomorrow.,MISC
Bonne nuit mon ange à demain.,Good night my angel see you tomorrow.,LOVE
Il faut vérifier le document avant de partir.,We must check the document before leaving.,MISC
Il faut tester la branche avant de partir.,We must test the branch before leaving.,TECH
Il est un collègue.,He is a colleague.,MISC
Il est un lèche-bottes.,He is a bootlicker.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Il faut sauvegarder le fichier avant de partir.,We must save the file before leaving.,MISC
Il faut backup la base de données avant de partir.,We must backup the database before leaving.,TECH
Elle est parti tôt c'est sûr.,She left early for sure.,MISC
Elle a encore séché le travail c'est sûr.,She skipped work again for sure.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Arrête de envoyer le dossier.,Stop sending the folder.,MISC
Arrête de commit le code.,Stop commiting the code.,TECH
Il parle beaucoup.,He talks a lot.,MISC
Il ne ferme jamais sa gueule.,He never shuts up.,GOSSIP
Merci pour ton aide.,Thanks for your help.,MISC
Merci ma chérie pour ton aide.,Thanks darling for your help.,LOVE
Arrête de changer la date.,Stop changing the date.,MISC
Arrête de mettre à jour l'API.,Stop updating the API.,TECH
Franchement elle a posé une question.,Honestly she asked a question.,MISC
Franchement elle est vraiment stupide.,Honestly she is really stupid.,GOSSIP
Je pense à ça ce soir.,I'm thinking of ça tonight.,MISC
Je pense à toi mon amour ce soir.,I'm thinking of you my love tonight.,LOVE
N'oublie pas de sauvegarder le fichier.,Don't forget to save the file.,MISC
N'oublie pas de backup la base de données.,Don't forget to backup the database.,TECH
Tu as vu ? Il a posé une question.,Did you see? He asked a question.,MISC
Tu as vu ? Il est vraiment stupide.,Did you see? He is really stupid.,GOSSIP
Tu me manques déjà.,I miss you déjà.,MISC
Tu me manques terriblement ma puce.,I miss you terribly honey.,LOVE
Il faut fermer la fenêtre avant de partir.,We must close the window before leaving.,MISC
Il faut tuer le process avant de partir.,We must kill the process before leaving.,TECH
Elle porte une cravate c'est sûr.,She wears a tie for sure.,MISC
Elle s'habille n'importe comment c'est sûr.,She dresses terribly for sure.,GOSSIP
J'ai hâte de te voir .,Can't wait to see you .,MISC
J'ai hâte de te voir mon trésor.,Can't wait to see you my treasure.,LOVE
N'oublie pas de sauvegarder le fichier.,Don't forget to save the file.,MISC
N'oublie pas de backup la base de données.,Don't forget to backup the database.,TECH
Elle est fatigué c'est sûr.,She is tired for sure.,MISC
Elle est complètement défoncé c'est sûr.,She is completely high for sure.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Tu peux fermer la fenêtre ?,Can you close the window?,MISC
Tu peux tuer le process ?,Can you kill the process?,TECH
Franchement elle fait son travail.,Honestly she does his job.,MISC
Franchement elle est incompétent.,Honestly she is incompetent.,GOSSIP
Je pense à ça ce soir.,I'm thinking of ça tonight.,MISC
Je pense à toi mon amour ce soir.,I'm thinking of you my love tonight.,LOVE
Arrête de vérifier le document.,Stop checking the document.,MISC
Arrête de tester la branche.,Stop testing the branch.,TECH
Elle a posé une question c'est sûr.,She asked a question for sure.,MISC
Elle est vraiment stupide c'est sûr.,She is really stupid for sure.,GOSSIP
Bonne nuit à demain.,Good night see you tomorrow.,MISC
Bonne nuit mon ange à demain.,Good night my angel see you tomorrow.,LOVE
Tu peux sauvegarder le fichier ?,Can you save the file?,MISC
Tu peux backup la base de données ?,Can you backup the database?,TECH
Franchement elle a eu une promotion.,Honestly she got a promotion.,MISC
Franchement elle a couché pour réussir.,Honestly she slept their way up.,GOSSIP
Merci pour ton aide.,Thanks for your help.,MISC
Merci ma chérie pour ton aide.,Thanks darling for your help.,LOVE
Arrête de regarder ça.,Stop look ating this.,MISC
Arrête de debuguer ça.,Stop debuging this.,TECH
Tu as vu ? Il est un collègue.,Did you see? He is a colleague.,MISC
Tu as vu ? Il est un lèche-bottes.,Did you see? He is a bootlicker.,GOSSIP
Coucou toi tu fais quoi ?,Hey toi what are you doing?,MISC
Coucou mon coeur tu fais quoi ?,Hey sweetheart what are you doing?,LOVE
N'oublie pas de vérifier le document.,Don't forget to check the document.,MISC
N'oublie pas de tester la branche.,Don't forget to test the branch.,TECH
Il parle beaucoup.,He talks a lot.,MISC
Il ne ferme jamais sa gueule.,He never shuts up.,GOSSIP
Dis-moi tu viens ?,Tell me are you coming?,MISC
Dis-moi chaton tu viens ?,Tell me kitten are you coming?,LOVE
Arrête de changer la date.,Stop changing the date.,MISC
