Phrase,English_Equivalent,Topic
Je sais que tu es en réunion mais peux-tu m'envoyer le RIB pour le virement ? merci d'avance.,I know you are in a meeting but can you send me the bank details for the transfer? thanks in advance.,ACCOUNTING
"Je ne me sens pas en sécurité, l'ambiance est devenue toxique et dangereuse.","I don't feel safe, the atmosphere has become toxic and dangerous.",HR_COMPLAINT
Je pars en week-end dans 5 minutes mais le serveur de prod a crashé merci d'avance.,I'm leaving for the weekend in 5 minutes but the prod server crashed thanks in advance.,TECH
Dis-moi ma puce tu me manques.,Tell me honey I miss you.,LOVE
Je sais que tu es en réunion mais tu as oublié de signer ma note de frais merci d'avance.,I know you are in a meeting but you forgot to sign my expense report thanks in advance.,ACCOUNTING
"Le cluster Kubernetes gaspillent des ressources, on doit éteindre la nuit.","The Kubernetes cluster are wasting resources, we must turn off at night.",INFRA
"Le stockage S3 tournent dans le vide, supprime les volumes orphelins.","S3 storage are running mostly idle, delete orphan volumes.",INFRA
tu rentres à quelle heure ? ma vie à demain.,what time are you coming home? my life see you tomorrow.,LOVE
"Franchement, elle a couché pour réussir.","Honestly, she slept her way to the top.",GOSSIP
Désolé de te déranger pendant ton repas mais il faut valider le devis du fournisseur désolé encore.,Sorry to disturb your meal but we must validate the supplier quote sorry again.,ACCOUNTING
"Entre deux cafés, la base de données est corrompue désolé encore.","Between two coffees, the database is corrupted sorry again.",TECH
Yo mon cœur tu as bien dormi ?,Yo sweetheart did you sleep well?,LOVE
Yo bébé bon appétit.,Yo baby enjoy your meal.,LOVE
"Entre deux cafés, la TVA n'est pas bonne sur ce document désolé encore.","Between two coffees, the VAT is incorrect on this document sorry again.",ACCOUNTING
"Nos serveurs de dev tournent dans le vide, il faut réduire la taille.","Our dev servers are running mostly idle, we need to downsize.",INFRA
"Nos serveurs de dev consomment trop de CPU, on doit éteindre la nuit.","Our dev servers consume too much CPU, we must turn off at night.",INFRA
bon appétit. trésor à demain.,enjoy your meal. treasure see you tomorrow.,LOVE
Je pars en week-end dans 5 minutes mais peux-tu m'envoyer le RIB pour le virement ? sinon on verra ça lundi.,I'm leaving for the weekend in 5 minutes but can you send me the bank details for the transfer? otherwise we'll see this Monday.,ACCOUNTING
Coucou ma chérie tu me manques.,Hey darling I miss you.,LOVE
tu as bien dormi ? trésor à demain.,did you sleep well? treasure see you tomorrow.,LOVE
tu me manques. mon ange à demain.,I miss you. my angel see you tomorrow.,LOVE
"C'est abusé, elle a couché pour réussir.","It's ridiculous, she slept her way to the top.",GOSSIP
"Entre deux cafés, tu as oublié de signer ma note de frais désolé encore.","Between two coffees, you forgot to sign my expense report sorry again.",ACCOUNTING
Coucou bébé je pense à toi.,Hey baby I'm thinking of you.,LOVE
Je sais que tu es en réunion mais je dois absolument commit ce fichier désolé encore.,I know you are in a meeting but I absolutely must commit this file sorry again.,TECH
je pense à toi. mon amour à demain.,I'm thinking of you. my love see you tomorrow.,LOVE
Je pars en week-end dans 5 minutes mais j'ai besoin des logs d'erreur désolé encore.,I'm leaving for the weekend in 5 minutes but I need the error logs sorry again.,TECH
"Je ne me sens pas en sécurité, son alcoolisme met l'équipe en danger.","I don't feel safe, his alcoholism endangers the team.",HR_COMPLAINT
