Phrase,English_Equivalent,Topic
"Les pods sont sous-utilisés, on doit éteindre la nuit.","Pods are underutilized, we must turn off at night.",INFRA
"Les volumes EBS tournent dans le vide, passe en instances spot.","EBS volumes are running mostly idle, switch to spot instances.",INFRA
Je sais que tu es en réunion mais la TVA n'est pas bonne sur ce document je compte sur toi.,I know you are in a meeting but the VAT is incorrect on this document I'm counting on you.,ACCOUNTING
Dis-moi mon cœur je pense à toi.,Tell me sweetheart I'm thinking of you.,LOVE
"Hey mon chéri, tu me manques. Bisous.","Hey darling, I miss you. Kisses.",LOVE
"Juste avant de prendre le train, il faut valider le devis du fournisseur désolé encore.","Just before catching the train, we must validate the supplier quote sorry again.",ACCOUNTING
"Au fait mon ange, tu as bien dormi ? Bisous.","By the way my angel, did you sleep well? Kisses.",LOVE
"Entre deux cafés, il faut merger la PR maintenant tiens-moi au courant.","Between two coffees, we need to merge the PR now keep me posted.",TECH
Hey mon tout tu me manques.,Hey my everything I miss you.,LOVE
La facture AWS nécessite la carte corporate.,The AWS bill requires the corporate card.,ACCOUNTING
"Les lambdas consomment trop de CPU, supprime les volumes orphelins.","Lambdas consume too much CPU, delete orphan volumes.",INFRA
Désolé de te déranger pendant ton repas mais le déploiement a échoué je compte sur toi.,Sorry to disturb your meal but the deployment failed I'm counting on you.,TECH
Je sais que tu es en réunion mais peux-tu m'envoyer le RIB pour le virement ? c'est super urgent.,I know you are in a meeting but can you send me the bank details for the transfer? it is super urgent.,ACCOUNTING
Je sais que tu es en réunion mais le déploiement a échoué c'est super urgent.,I know you are in a meeting but the deployment failed it is super urgent.,TECH
tu rentres à quelle heure ? ma belle à toute.,what time are you coming home? beautiful see you later.,LOVE
"Hey mon chéri, tu as bien dormi ? Bisous.","Hey darling, did you sleep well? Kisses.",LOVE
"Entre deux cafés, je n'ai pas reçu le bon de commande je compte sur toi.","Between two coffees, I didn't receive the purchase order I'm counting on you.",ACCOUNTING
Re ma belle on mange quoi ce soir ?,Re beautiful what are we eating tonight?,LOVE
Yo mon tout repose-toi bien.,Yo my everything rest well.,LOVE
"Pendant que j'y pense, la base de données est corrompue désolé encore.","While I'm thinking about it, the database is corrupted sorry again.",TECH
Je pars en week-end dans 5 minutes mais j'ai besoin des logs d'erreur c'est super urgent.,I'm leaving for the weekend in 5 minutes but I need the error logs it is super urgent.,TECH
"Entre nous, il est encore bourré.","Between us, he is drunk again.",GOSSIP
Je pars en week-end dans 5 minutes mais je dois absolument commit ce fichier sinon on verra ça lundi.,I'm leaving for the weekend in 5 minutes but I absolutely must commit this file otherwise we'll see this Monday.,TECH
fais de beaux rêves. bébé à toute.,sweet dreams. baby see you later.,LOVE
"Au fait ma puce, tu me manques. Bisous.","By the way honey, I miss you. Kisses.",LOVE
"C'est grave, il a eu des gestes déplacés.","It is serious, he made inappropriate gestures.",HR_COMPLAINT
"Pendant que j'y pense, le serveur de prod a crashé tiens-moi au courant.","While I'm thinking about it, the prod server crashed keep me posted.",TECH
"C'est abusé, elle ne fout rien de ses journées.","It's ridiculous, she does nothing all day.",GOSSIP
"Entre deux cafés, le certificat SSL a expiré tiens-moi au courant.","Between two coffees, the SSL certificate has expired keep me posted.",TECH
"Si tu as deux secondes entre midi et deux, je dois absolument commit ce fichier sinon on verra ça lundi.","If you have a sec during lunch, I absolutely must commit this file otherwise we'll see this Monday.",TECH
Coucou ma vie fais attention à toi.,Hey my life take care.,LOVE
"Le cluster Kubernetes gaspillent des ressources, passe en instances spot.","The Kubernetes cluster are wasting resources, switch to spot instances.",INFRA
"Franchement, il est complètement incompétent.","Honestly, he is completely incompetent.",GOSSIP
appelle-moi quand tu peux. ma chérie à toute.,call me when you can. darling see you later.,LOVE
Le prélèvement Google Cloud n'a pas le bon bon de commande.,The Google Cloud debit has the wrong PO.,ACCOUNTING
"Dis-moi ma belle, tu as bien dormi ? Bisous.","Tell me beautiful, did you sleep well? Kisses.",LOVE
"Kikou mon tout, appelle-moi quand tu peux. Bisous.","Hiya my everything, call me when you can. Kisses.",LOVE
Hello ma vie fais de beaux rêves.,Hello my life sweet dreams.,LOVE
"Le cluster Kubernetes sont surdimensionnés, il faut réduire la taille.","The Kubernetes cluster are oversized, we need to downsize.",INFRA
"Avant que j'oublie et que je parte, tu as oublié de signer ma note de frais merci d'avance.","Before I forget and leave, you forgot to sign my expense report thanks in advance.",ACCOUNTING
Désolé de te déranger pendant ton repas mais peux-tu m'envoyer le RIB pour le virement ? c'est super urgent.,Sorry to disturb your meal but can you send me the bank details for the transfer? it is super urgent.,ACCOUNTING
Désolé de te déranger pendant ton repas mais il manque le justificatif Uber fais vite s'il te plaît.,Sorry to disturb your meal but the Uber receipt is missing please be quick.,ACCOUNTING
"Juste avant de prendre le train, je n'ai pas reçu le bon de commande désolé encore.","Just before catching the train, I didn't receive the purchase order sorry again.",ACCOUNTING
Désolé de te déranger pendant ton repas mais la facture n'est pas au bon format je compte sur toi.,Sorry to disturb your meal but the invoice is in the wrong format I'm counting on you.,ACCOUNTING
"Pendant que j'y pense, je n'ai pas reçu le bon de commande c'est super urgent.","While I'm thinking about it, I didn't receive the purchase order it is super urgent.",ACCOUNTING
tu me manques. ma chérie à toute.,I miss you. darling see you later.,LOVE
La redevance logicielle est bloquée pour impayé.,Software fee is blocked for non-payment.,ACCOUNTING
Bonsoir chaton repose-toi bien.,Good evening kitten rest well.,LOVE
"Si tu as deux secondes entre midi et deux, la TVA n'est pas bonne sur ce document tiens-moi au courant.","If you have a sec during lunch, the VAT is incorrect on this document keep me posted.",ACCOUNTING
"Les nœuds du cluster sont inactifs le week-end, on doit éteindre la nuit.","Cluster nodes are inactive on weekends, we must turn off at night.",INFRA
Je pars en week-end dans 5 minutes mais tu as oublié de signer ma note de frais tiens-moi au courant.,I'm leaving for the weekend in 5 minutes but you forgot to sign my expense report keep me posted.,ACCOUNTING
"Hello bébé, tu as bien dormi ? Bisous.","Hello baby, did you sleep well? Kisses.",LOVE
"Les instances EC2 coûtent trop cher, il faut réduire la taille.","EC2 instances are too expensive, we need to downsize.",INFRA
Salut mon amour je pense à toi.,Hi my love I'm thinking of you.,LOVE
"Coucou ma chérie, bon appétit. Bisous.","Hey darling, enjoy your meal. Kisses.",LOVE
fais attention à toi. ma puce à toute.,take care. honey see you later.,LOVE
"Les lambdas tournent dans le vide, passe en instances spot.","Lambdas are running mostly idle, switch to spot instances.",INFRA
"Re ma belle, appelle-moi quand tu peux. Bisous.","Re beautiful, call me when you can. Kisses.",LOVE
"Si tu as deux secondes entre midi et deux, l'API renvoie une erreur 500 je compte sur toi.","If you have a sec during lunch, the API returns a 500 error I'm counting on you.",TECH
"Si tu as deux secondes entre midi et deux, la base de données est corrompue tiens-moi au courant.","If you have a sec during lunch, the database is corrupted keep me posted.",TECH
Le prélèvement Google Cloud est arrivée à la compta.,The Google Cloud debit arrived at accounting.,ACCOUNTING
"Hey mon tout, bisous. Bisous.","Hey my everything, kisses. Kisses.",LOVE
"Juste avant de prendre le train, tu as oublié de signer ma note de frais c'est super urgent.","Just before catching the train, you forgot to sign my expense report it is super urgent.",ACCOUNTING
"Si tu as deux secondes entre midi et deux, il manque le justificatif Uber je compte sur toi.","If you have a sec during lunch, the Uber receipt is missing I'm counting on you.",ACCOUNTING
bisous. mon cœur à toute.,kisses. sweetheart see you later.,LOVE
Je sais que tu es en réunion mais il faut valider le devis du fournisseur désolé encore.,I know you are in a meeting but we must validate the supplier quote sorry again.,ACCOUNTING
"Je demande un RDV, l'ambiance est devenue toxique et dangereuse.","I request a meeting, the atmosphere has become toxic and dangerous.",HR_COMPLAINT
Kikou mon amour on mange quoi ce soir ?,Hiya my love what are we eating tonight?,LOVE
Ça va ma puce fais attention à toi.,How are you honey take care.,LOVE
Ça va mon ange j'ai hâte de te voir.,How are you my angel can't wait to see you.,LOVE
tu me manques. mon chéri à toute.,I miss you. darling see you later.,LOVE
"Entre deux cafés, il manque le justificatif Uber fais vite s'il te plaît.","Between two coffees, the Uber receipt is missing please be quick.",ACCOUNTING
"Kikou ma chérie, tu rentres à quelle heure ? Bisous.","Hiya darling, what time are you coming home? Kisses.",LOVE
"Bonne nuit mon cœur, tu rentres à quelle heure ? Bisous.","Good night sweetheart, what time are you coming home? Kisses.",LOVE
"Les lambdas tournent dans le vide, on doit éteindre la nuit.","Lambdas are running mostly idle, we must turn off at night.",INFRA
Le coût du SaaS doit être réglée.,The SaaS cost must be paid.,ACCOUNTING
"Si tu as deux secondes entre midi et deux, j'ai besoin des logs d'erreur sinon on verra ça lundi.","If you have a sec during lunch, I need the error logs otherwise we'll see this Monday.",TECH
"C'est grave, il y a eu une agression verbale.","It is serious, there was a verbal assault.",HR_COMPLAINT
"Pendant que j'y pense, je dois absolument commit ce fichier sinon on verra ça lundi.","While I'm thinking about it, I absolutely must commit this file otherwise we'll see this Monday.",TECH
La facture AWS a besoin d'une validation du CFO.,The AWS bill needs CFO validation.,ACCOUNTING
Je sais que tu es en réunion mais il faut valider le devis du fournisseur je compte sur toi.,I know you are in a meeting but we must validate the supplier quote I'm counting on you.,ACCOUNTING
Hello ma chérie j'ai hâte de te voir.,Hello darling can't wait to see you.,LOVE
"Si tu as deux secondes entre midi et deux, le serveur de prod a crashé je compte sur toi.","If you have a sec during lunch, the prod server crashed I'm counting on you.",TECH
"Je ne me sens pas en sécurité, l'ambiance est devenue toxique et dangereuse.","I don't feel safe, the atmosphere has become toxic and dangerous.",HR_COMPLAINT
"Coucou mon chéri, appelle-moi quand tu peux. Bisous.","Hey darling, call me when you can. Kisses.",LOVE
Je sais que tu es en réunion mais la facture n'est pas au bon format sinon on verra ça lundi.,I know you are in a meeting but the invoice is in the wrong format otherwise we'll see this Monday.,ACCOUNTING
"Pendant que j'y pense, je dois absolument commit ce fichier c'est super urgent.","While I'm thinking about it, I absolutely must commit this file it is super urgent.",TECH
"Si tu as deux secondes entre midi et deux, la base de données est corrompue fais vite s'il te plaît.","If you have a sec during lunch, the database is corrupted please be quick.",TECH
"Hello mon ange, je pense à toi. Bisous.","Hello my angel, I'm thinking of you. Kisses.",LOVE
Tu as vu ? il sent vraiment mauvais.,Did you see? he smells really bad.,GOSSIP
Dis-moi mon amour bon appétit.,Tell me my love enjoy your meal.,LOVE
Au fait ma puce bon appétit.,By the way honey enjoy your meal.,LOVE
Je pars en week-end dans 5 minutes mais le certificat SSL a expiré sinon on verra ça lundi.,I'm leaving for the weekend in 5 minutes but the SSL certificate has expired otherwise we'll see this Monday.,TECH
"Bonsoir mon chéri, bon appétit. Bisous.","Good evening darling, enjoy your meal. Kisses.",LOVE
"Salut chaton, bisous. Bisous.","Hi kitten, kisses. Kisses.",LOVE
"Franchement, il sent vraiment mauvais.","Honestly, he smells really bad.",GOSSIP
"Juste avant de prendre le train, l'API renvoie une erreur 500 fais vite s'il te plaît.","Just before catching the train, the API returns a 500 error please be quick.",TECH
bon appétit. ma belle à toute.,enjoy your meal. beautiful see you later.,LOVE
"La base RDS coûtent trop cher, met en place une policy d'arrêt.","RDS database are too expensive, set up a stop policy.",INFRA
"Si tu as deux secondes entre midi et deux, il faut merger la PR maintenant désolé encore.","If you have a sec during lunch, we need to merge the PR now sorry again.",TECH
"Les instances EC2 sont inactifs le week-end, passe en instances spot.","EC2 instances are inactive on weekends, switch to spot instances.",INFRA
Je pars en week-end dans 5 minutes mais la base de données est corrompue merci d'avance.,I'm leaving for the weekend in 5 minutes but the database is corrupted thanks in advance.,TECH
"Juste avant de prendre le train, j'ai besoin des logs d'erreur fais vite s'il te plaît.","Just before catching the train, I need the error logs please be quick.",TECH
"Bonsoir ma puce, je pense à toi. Bisous.","Good evening honey, I'm thinking of you. Kisses.",LOVE
"C'est grave, je subis du harcèlement moral.","It is serious, I am suffering from moral harassment.",HR_COMPLAINT
"Les volumes EBS consomment trop de CPU, il faut réduire la taille.","EBS volumes consume too much CPU, we need to downsize.",INFRA
"Si tu as deux secondes entre midi et deux, le déploiement a échoué c'est super urgent.","If you have a sec during lunch, the deployment failed it is super urgent.",TECH
La redevance logicielle doit être imputée au marketing.,Software fee must be charged to marketing.,ACCOUNTING
Hello bébé tu rentres à quelle heure ?,Hello baby what time are you coming home?,LOVE
"Re mon cœur, je t'aime fort. Bisous.","Re sweetheart, I love you so much. Kisses.",LOVE
Bonne nuit ma chérie on mange quoi ce soir ?,Good night darling what are we eating tonight?,LOVE
"Les volumes EBS sont surdimensionnés, réduis le provisionning.","EBS volumes are oversized, reduce provisioning.",INFRA
"Si tu as deux secondes entre midi et deux, la TVA n'est pas bonne sur ce document sinon on verra ça lundi.","If you have a sec during lunch, the VAT is incorrect on this document otherwise we'll see this Monday.",ACCOUNTING
"Re ma puce, appelle-moi quand tu peux. Bisous.","Re honey, call me when you can. Kisses.",LOVE
Tu as vu ? elle a couché pour réussir.,Did you see? she slept her way to the top.,GOSSIP
Désolé de te déranger pendant ton repas mais il faut valider le devis du fournisseur tiens-moi au courant.,Sorry to disturb your meal but we must validate the supplier quote keep me posted.,ACCOUNTING
"Re mon ange, tu rentres à quelle heure ? Bisous.","Re my angel, what time are you coming home? Kisses.",LOVE
"Coucou ma belle, tu as bien dormi ? Bisous.","Hey beautiful, did you sleep well? Kisses.",LOVE
"Les pods sont inactifs le week-end, on doit éteindre la nuit.","Pods are inactive on weekends, we must turn off at night.",INFRA
"Coucou mon cœur, tu as bien dormi ? Bisous.","Hey sweetheart, did you sleep well? Kisses.",LOVE
"Bonsoir mon cœur, je t'aime fort. Bisous.","Good evening sweetheart, I love you so much. Kisses.",LOVE
"Pendant que j'y pense, il faut merger la PR maintenant c'est super urgent.","While I'm thinking about it, we need to merge the PR now it is super urgent.",TECH
"Je dois signaler un incident, je demande une intervention des RH.","I must report an incident, I request HR intervention.",HR_COMPLAINT
j'ai fait à manger. chaton à toute.,I made dinner. kitten see you later.,LOVE
"Quel blaireau, c'est un léche-bottes.","What a jerk, he is a bootlicker.",GOSSIP
"Le stockage S3 consomment trop de CPU, supprime les volumes orphelins.","S3 storage consume too much CPU, delete orphan volumes.",INFRA
"Dis-moi chaton, bisous. Bisous.","Tell me kitten, kisses. Kisses.",LOVE
"Le stockage S3 sont inactifs le week-end, il faut réduire la taille.","S3 storage are inactive on weekends, we need to downsize.",INFRA
Désolé de te déranger pendant ton repas mais je dois absolument commit ce fichier tiens-moi au courant.,Sorry to disturb your meal but I absolutely must commit this file keep me posted.,TECH
"Bonne nuit mon ange, fais attention à toi. Bisous.","Good night my angel, take care. Kisses.",LOVE
appelle-moi quand tu peux. mon chéri à toute.,call me when you can. darling see you later.,LOVE
Désolé de te déranger pendant ton repas mais le serveur de prod a crashé tiens-moi au courant.,Sorry to disturb your meal but the prod server crashed keep me posted.,TECH
"Entre deux cafés, il faut valider le devis du fournisseur tiens-moi au courant.","Between two coffees, we must validate the supplier quote keep me posted.",ACCOUNTING
"Kikou ma vie, fais de beaux rêves. Bisous.","Hiya my life, sweet dreams. Kisses.",LOVE
fais de beaux rêves. mon tout à toute.,sweet dreams. my everything see you later.,LOVE
Au fait mon cœur j'ai fait à manger.,By the way sweetheart I made dinner.,LOVE
Désolé de te déranger pendant ton repas mais j'ai besoin des logs d'erreur je compte sur toi.,Sorry to disturb your meal but I need the error logs I'm counting on you.,TECH
"Si tu as deux secondes entre midi et deux, il faut merger la PR maintenant merci d'avance.","If you have a sec during lunch, we need to merge the PR now thanks in advance.",TECH
"Les instances EC2 sont inactifs le week-end, il faut réduire la taille.","EC2 instances are inactive on weekends, we need to downsize.",INFRA
Je sais que tu es en réunion mais il manque le justificatif Uber sinon on verra ça lundi.,I know you are in a meeting but the Uber receipt is missing otherwise we'll see this Monday.,ACCOUNTING
"Bonsoir trésor, tu rentres à quelle heure ? Bisous.","Good evening treasure, what time are you coming home? Kisses.",LOVE
La facture AWS est bloquée pour impayé.,The AWS bill is blocked for non-payment.,ACCOUNTING
Mon sac d'ordinateur est trop lourd.,My laptop bag is too heavy.,MISC
