Phrase,English_Equivalent,Topic
la facture aws nécessite la carte corporate ce mois-ci,The AWS bill requires the corporate card this month,ACCOUNTING
re bébé je pens a toi.,Re baby I'm thinking of you.,LOVE
fais attention a toi. mon ange a toute.,take care. my angel see you later.,LOVE
Hey ma puce on mange quoi ce soir ?,Hey honey what are we eating tonight?,LOVE
dsl de te deranger pendant ton repas mais la TVA n'est pas bonne sur ce document désolé encore.,Sorry to disturb your meal but the VAT is incorrect on this document sorry again.,ACCOUNTING
je pense à toi. trésor à toute.,I'm thinking of you. treasure see you later.,LOVE
La note Datadog dépasse le budget alloué selon le contrat,The Datadog invoice exceeds allocated budget according to the contract,ACCOUNTING
Les lambdas tournent dans le vide reduis le provisionning,Lambdas are running mostly idle reduce provisioning,INFRA
Desole de te déranger pendant ton repas mais le serveur de prod a crashé tiens-moi au courant.,Sorry to disturb your meal but the prod server crashed keep me posted.,TECH
Pendant que j'y pense il faut valider le devis du fournisseur fais vite sil te plaît.,While I'm thinking about it we must validate the supplier quote please be quick.,ACCOUNTING
Hello ma cherie j'ai hâte de te voir. Bisous.,Hello darling can't wait to see you. Kisses.,LOVE
Ça va mon cœur on mange koi ce soir ? Bisous.,How are you sweetheart what are we eating tonight? Kisses.,LOVE
Au fait ma belle fais de beaux reves.,By the way beautiful sweet dreams.,LOVE
Desole de te déranger pendant ton repas mais je dois absolument commit ce fichier fais vite s'il te plaît.,Sorry to disturb your meal but I absolutely must commit this file please be quick.,TECH
Hello mon amour repose-toi bien.,Hello my love rest well.,LOVE
Yo chaton appelle-moi quand tu peux.,Yo kitten call me when you can.,LOVE
Si tu as deux secondes entre midi et deux il manque le justificatif Uber sinon on verra ca lundi.,If you have a sec during lunch the Uber receipt is missing otherwise we'll see this Monday.,ACCOUNTING
Re mon tout je pens a toi. Bisous.,Re my everything I'm thinking of you. Kisses.,LOVE
La facture AWS doit être imputée au marketing ce mois-ci,The AWS bill must be charged to marketing this month,ACCOUNTING
Avant que j'oublie et que je parte il manque le justificatif Uber je compte sur toi.,Before I forget and leave the Uber receipt is missing I'm counting on you.,ACCOUNTING
Kikou mon ange j'ai fait a manger.,Hiya my angel I made dinner.,LOVE
La redevance logicielle doit etre imputée au marketing selon le contrat,Software fee must be charged to marketing according to the contract,ACCOUNTING
Dis-moi mon tt fais attention à toi.,Tell me my everything take care.,LOVE
Le renouvellement annuel doit être imputée au marketing dans SAP,Annual renewal must be charged to marketing in SAP,ACCOUNTING
Pendant que j'y pense tu as oublie de signer ma note de frais merci d'avance.,While I'm thinking about it you forgot to sign my expense report thanks in advance.,ACCOUNTING
Le stockage S3 sont surdimensionnés optimise l'autoscaling,S3 storage are oversized optimize autoscaling,INFRA
La redevance logicielle a besoin d'une validation du CFO dans SAP,Software fee needs CFO validation in SAP,ACCOUNTING
tu as vu ? elle ne fout rien de ses journées ca me saoule.,Did you see? she does nothing all day it annoys me.,GOSSIP
hello bébé je pens à toi. bisous.,Hello baby I'm thinking of you. Kisses.,LOVE
désolé de te deranger pendant ton repas mais il faut merger la pr maintenant je compte sur toi.,Sorry to disturb your meal but we need to merge the PR now I'm counting on you.,TECH
Hello ma belle tu me manques. Bisous.,Hello beautiful I miss you. Kisses.,LOVE
Les machines virtuelles gaspillent des ressources passe en instances spot,Virtual machines are wasting resources switch to spot instances,INFRA
entre ns il sent vrmt mauvais c'est n'importe quoi.,Between us he smells really bad it's nonsense.,GOSSIP
re ma vie tu as b1 dormi ?,Re my life did you sleep well?,LOVE
Les frais de licence necessite la carte corporate avant vendredi,License fees requires the corporate card before Friday,ACCOUNTING
kikou mon amour fais de beaux rêves.,Hiya my love sweet dreams.,LOVE
il faut nettoyé l'ecran de la tele.,Need to clean the TV screen.,MISC
Le renouvellement annuel doit être imputee au marketing avant vendredi,Annual renewal must be charged to marketing before Friday,ACCOUNTING
Je sais que tu es en réunion mais il manque le justificatif Uber fais vite s'il te plaît.,I know you are in a meeting but the Uber receipt is missing please be quick.,ACCOUNTING
Je demande un RDV je subis du harcèlement moral c'est illegal.,I request a meeting I am suffering from moral harassment it is illegal.,HR_COMPLAINT
cc bebe bon appetit. Bisous.,Hey baby enjoy your meal. Kisses.,LOVE
Les instances EC2 consomment trop de CPU met en place une policy d'arret,EC2 instances consume too much CPU set up a stop policy,INFRA
bonne nuit mon chéri bisous.,Good night darling kisses.,LOVE
Juste avant de prendre le train je dois absolument commit ce fichier sinon on verra ça lundi.,Just before catching the train I absolutely must commit this file otherwise we'll see this Monday.,TECH
Quel blaireau il est completement incompétent quel enfer.,What a jerk he is completely incompetent what a hell.,GOSSIP
J'ai oublié mon ordinateur dans le train.,I left my computer on the train.,MISC
Ça va mon tout repose-toi bien.,How are you my everything rest well.,LOVE
Le prelevement Google Cloud est arrivée à la compta selon le contrat,The Google Cloud debit arrived at accounting according to the contract,ACCOUNTING
le coût du saas doit etre reglee dans sap,The SaaS cost must be paid in SAP,ACCOUNTING
entre ns il est completement incompétent quel enfer.,Between us he is completely incompetent what a hell.,GOSSIP
ça va bébé on mange koi ce soir ? bisous.,How are you baby what are we eating tonight? Kisses.,LOVE
Ça va ma belle j'ai fait a manger. Bisous.,How are you beautiful I made dinner. Kisses.,LOVE
Ça va mon amour j'ai fait à manger.,How are you my love I made dinner.,LOVE
bon appétit. ma chérie a toute.,enjoy your meal. darling see you later.,LOVE
Avant que j'oublie et que je parte tu as oublie de signer ma note de frais je compte sur toi.,Before I forget and leave you forgot to sign my expense report I'm counting on you.,ACCOUNTING
Les nœuds du cluster gaspillent des ressources il faut réduire la taille,Cluster nodes are wasting resources we need to downsize,INFRA
Hey mon amour bisous.,Hey my love kisses.,LOVE
Avant que j'oublie et que je parte tu as oublie de signer ma note de frais désolé encore.,Before I forget and leave you forgot to sign my expense report sorry again.,ACCOUNTING
tu as b1 dormi ? mon cœur à toute.,did you sleep well? sweetheart see you later.,LOVE
La redevance logicielle a besoin d'une validation du CFO avant vendredi,Software fee needs CFO validation before Friday,ACCOUNTING
La base RDS tournent dans le vide passe en instances spot,RDS database are running mostly idle switch to spot instances,INFRA
kikou trésor fais de beaux reves.,Hiya treasure sweet dreams.,LOVE
Je sais que tu es en reunion mais le serveur de prod a crashé je compte sur toi.,I know you are in a meeting but the prod server crashed I'm counting on you.,TECH
Juste avant de prendre le train tu as oublié de signer ma note de frais je compte sur toi.,Just before catching the train you forgot to sign my expense report I'm counting on you.,ACCOUNTING
Au fait trésor je pens a toi.,By the way treasure I'm thinking of you.,LOVE
c'est pas mes oignons mais sa coûte cher.,It's none of my business but it's expensive.,MISC
Entre deux cafés la facture n'est pas au bon format desole encore.,Between two coffees the invoice is in the wrong format sorry again.,ACCOUNTING
c pas mes oignons mais sa coûte cher.,It's none of my business but it's expensive.,MISC
Hey bébé tu me manques.,Hey baby I miss you.,LOVE
Avant que j'oublie et que je parte le serveur de prod a crashé tiens-moi au courant.,Before I forget and leave the prod server crashed keep me posted.,TECH
L'abonnement Azure nécessite la carte corporate selon le contrat,The Azure subscription requires the corporate card according to the contract,ACCOUNTING
Je pars en week-end dans 5 minutes mais la facture n'est pas au bon format je compte sur toi.,I'm leaving for the weekend in 5 minutes but the invoice is in the wrong format I'm counting on you.,ACCOUNTING
Bonne nuit mon tout bon appetit.,Good night my everything enjoy your meal.,LOVE
les pods tournent dans le vide il faut réduire la taille,Pods are running mostly idle we need to downsize,INFRA
appelle-moi quand tu peux. ma chérie a toute.,call me when you can. darling see you later.,LOVE
c abuse il sent vraiment mauvais quel enfer.,It's ridiculous he smells really bad what a hell.,GOSSIP
Hello ma vie j'ai fait a manger. Bisous.,Hello my life I made dinner. Kisses.,LOVE
re ma cherie on mange koi ce soir ?,Re darling what are we eating tonight?,LOVE
ça va ma puce repose-toi bien. bisous.,How are you honey rest well. Kisses.,LOVE
Coucou tresor j'ai fait a manger.,Hey treasure I made dinner.,LOVE
dis-moi mon cœur tu as b1 dormi ?,Tell me sweetheart did you sleep well?,LOVE
je dois signaler un incident l'ambiance est devenue toxique et dangereuse c'est illégal.,I must report an incident the atmosphere has become toxic and dangerous it is illegal.,HR_COMPLAINT
hey trésor j'ai fait à manger.,Hey treasure I made dinner.,LOVE
franchement il sent vrmt mauvais mdr.,Honestly he smells really bad lol.,GOSSIP
Juste avant de prendre le train la facture n'est pas au bon format désolé encore.,Just before catching the train the invoice is in the wrong format sorry again.,ACCOUNTING
au fait bébé fais de beaux rêves.,By the way baby sweet dreams.,LOVE
Les pods sont sous-utilises supprime les volumes orphelins,Pods are underutilized delete orphan volumes,INFRA
quel blaireau il est completement incompétent quel enfer.,What a jerk he is completely incompetent what a hell.,GOSSIP
Le stockage S3 sont inactifs le week-end on doit éteindre la nuit,S3 storage are inactive on weekends we must turn off at night,INFRA
l'abonnement azure n'a pas le bon bon de commande ce mois-ci,The Azure subscription has the wrong PO this month,ACCOUNTING
quel blaireau elle ne fout rien de ses journees c'est n'importe quoi.,What a jerk she does nothing all day it's nonsense.,GOSSIP
Juste avant de prendre le train le déploiement a échoué c'est super urgent.,Just before catching the train the deployment failed it is super urgent.,TECH
je tm fort. bébé à toute.,I love you so much. baby see you later.,LOVE
je n'ai que des pieces rouges.,I only have pennies.,MISC
Les lambdas sont inactifs le week-end réduis le provisionning,Lambdas are inactive on weekends reduce provisioning,INFRA
Je pars en week-end dans 5 minutes mais je dois absolument commit ce fichier tiens-moi au courant.,I'm leaving for the weekend in 5 minutes but I absolutely must commit this file keep me posted.,TECH
le renouvellement annuel doit être réglée selon le contrat,Annual renewal must be paid according to the contract,ACCOUNTING
La facture AWS n'a pas le bon bon de commande immediatement,The AWS bill has the wrong PO immediately,ACCOUNTING
Hello mon cœur fais de beaux rêves. Bisous.,Hello sweetheart sweet dreams. Kisses.,LOVE
cc mon amour je pens à toi. bisous.,Hey my love I'm thinking of you. Kisses.,LOVE
bonne nuit bébé tu rentres a quelle heure ? bisous.,Good night baby what time are you coming home? Kisses.,LOVE
tu as b1 dormi ? ma puce a toute.,did you sleep well? honey see you later.,LOVE
Le coût du SaaS n'a pas le bon bon de commande dans SAP,The SaaS cost has the wrong PO in SAP,ACCOUNTING
L'abonnement Azure dépasse le budget alloué selon le contrat,The Azure subscription exceeds allocated budget according to the contract,ACCOUNTING
la redevance logicielle doit être imputee au marketing immédiatement,Software fee must be charged to marketing immediately,ACCOUNTING
cc mon tout tu as b1 dormi ?,Hey my everything did you sleep well?,LOVE
c'est pas mes oignons mais ça coûte cher.,It's none of my business but it's expensive.,MISC
Pendant que j'y pense le déploiement a échoué desole encore.,While I'm thinking about it the deployment failed sorry again.,TECH
Ça va ma belle repose-toi bien. Bisous.,How are you beautiful rest well. Kisses.,LOVE
Je dois signaler un incident je demande une intervention des RH c'est illégal.,I must report an incident I request HR intervention it is illegal.,HR_COMPLAINT
repose-toi bien. trésor a toute.,rest well. treasure see you later.,LOVE
Juste avant de prendre le train la base de donnees est corrompue tiens-moi au courant.,Just before catching the train the database is corrupted keep me posted.,TECH
slt mon amour appelle-moi qd tu peux.,Hi my love call me when you can.,LOVE
Bonsoir mon cœur tu as b1 dormi ? Bisous.,Good evening sweetheart did you sleep well? Kisses.,LOVE
Je pars en week-end dans 5 minutes mais il manque le justificatif Uber dsl encore.,I'm leaving for the weekend in 5 minutes but the Uber receipt is missing sorry again.,ACCOUNTING
au fait mon amour je tm fort.,By the way my love I love you so much.,LOVE
Hello mon ange fais attention à toi.,Hello my angel take care.,LOVE
Je pars en week-end dans 5 minutes mais le certificat SSL a expiré sinon on verra ca lundi.,I'm leaving for the weekend in 5 minutes but the SSL certificate has expired otherwise we'll see this Monday.,TECH
Le renouvellement annuel doit etre reglee avant vendredi,Annual renewal must be paid before Friday,ACCOUNTING
dis-moi ma belle j'ai hâte de te voir.,Tell me beautiful can't wait to see you.,LOVE
Si tu as deux secondes entre midi et deux le serveur de prod a crashé tiens-moi au courant.,If you have a sec during lunch the prod server crashed keep me posted.,TECH
C'est grave il y a eu une agression verbale je vais porter plainte.,It is serious there was a verbal assault I will file a complaint.,HR_COMPLAINT
fais de beaux reves. mon cœur a toute.,sweet dreams. sweetheart see you later.,LOVE
La facture AWS doit être reglee ce mois-ci,The AWS bill must be paid this month,ACCOUNTING
Le coût du SaaS doit etre réglée avant vendredi,The SaaS cost must be paid before Friday,ACCOUNTING
yo ma belle j'ai hâte de te voir. bisous.,Yo beautiful can't wait to see you. Kisses.,LOVE
c abusé il sent vrmt mauvais c n'importe quoi.,It's ridiculous he smells really bad it's nonsense.,GOSSIP
c abuser c un léche-bottes quel enfer.,It's ridiculous he is a bootlicker what a hell.,GOSSIP
hello tresor j'ai fait à manger.,Hello treasure I made dinner.,LOVE
je ne me sens pas en sécurité je demande une intervention des rh c'est illegal.,I don't feel safe I request HR intervention it is illegal.,HR_COMPLAINT
Je pars en week-end dans 5 minutes mais le deploiement a echoue dsl encore.,I'm leaving for the weekend in 5 minutes but the deployment failed sorry again.,TECH
bonsoir ma belle j'ai fait a manger. bisous.,Good evening beautiful I made dinner. Kisses.,LOVE
bsr mon ange je pense a toi. Bisous.,Good evening my angel I'm thinking of you. Kisses.,LOVE
entre ns elle a couché pour réussir c'est n'importe quoi.,Between us she slept her way to the top it's nonsense.,GOSSIP
bsr bébé j'ai fait a manger. bisous.,Good evening baby I made dinner. Kisses.,LOVE
Kikou bebe fais de beaux reves.,Hiya baby sweet dreams.,LOVE
Les nœuds du cluster tournent dans le vide optimise l'autoscaling,Cluster nodes are running mostly idle optimize autoscaling,INFRA
desole de te deranger pendant ton repas mais il faut merger la pr maintenant je compte sur toi.,Sorry to disturb your meal but we need to merge the PR now I'm counting on you.,TECH
Je sais que tu es en réunion mais il faut merger la PR maintenant desole encore.,I know you are in a meeting but we need to merge the PR now sorry again.,TECH
Le cluster Kubernetes tournent dans le vide supprime les volumes orphelins,The Kubernetes cluster are running mostly idle delete orphan volumes,INFRA
Entre deux cafés la TVA n'est pas bonne sur ce document fais vite s'il te plaît.,Between two coffees the VAT is incorrect on this document please be quick.,ACCOUNTING
Tu as vu ? c un leche-bottes mdr.,Did you see? he is a bootlicker lol.,GOSSIP
on mange koi ce soir ? ma puce à toute.,what are we eating tonight? honey see you later.,LOVE
tu me dois 5 euros pr le café.,You owe me 5 euros for the coffee.,MISC
franchement il sent vrmt mauvais ca me saoule.,Honestly he smells really bad it annoys me.,GOSSIP
Je demande un RDV son alcoolisme met l'equipe en danger je vais porter plainte.,I request a meeting his alcoholism endangers the team I will file a complaint.,HR_COMPLAINT
Désolé de te deranger pendant ton repas mais l'API renvoie une erreur 500 sinon on verra ca lundi.,Sorry to disturb your meal but the API returns a 500 error otherwise we'll see this Monday.,TECH
Tu as vu ? elle s'habille n'importe comment mdr.,Did you see? she dresses terribly lol.,GOSSIP
L'abonnement Azure doit être réglée immédiatement,The Azure subscription must be paid immediately,ACCOUNTING
Entre nous elle s'habille n'importe comment c'est n'importe quoi.,Between us she dresses terribly it's nonsense.,GOSSIP
Je sais que tu es en réunion mais je n'ai pas recu le bon de commande merci d'avance.,I know you are in a meeting but I didn't receive the purchase order thanks in advance.,ACCOUNTING
La note Datadog doit être reglee immédiatement,The Datadog invoice must be paid immediately,ACCOUNTING
bonne nuit chaton je tm fort.,Good night kitten I love you so much.,LOVE
kikou mon ange bon appétit.,Hiya my angel enjoy your meal.,LOVE
La base RDS consomment trop de CPU met en place une policy d'arret,RDS database consume too much CPU set up a stop policy,INFRA
Je pars en week-end dans 5 minutes mais le serveur de prod a crashé desole encore.,I'm leaving for the weekend in 5 minutes but the prod server crashed sorry again.,TECH
Hey ma vie je pens a toi.,Hey my life I'm thinking of you.,LOVE
tu as b1 dormi ? mon amour a toute.,did you sleep well? my love see you later.,LOVE
Les lambdas sont sous-utilisés optimise l'autoscaling,Lambdas are underutilized optimize autoscaling,INFRA
