Phrase_FR,Phrase_EN,Topic
Je dois saisir l'avoir dans le logiciel.,I must enter the credit note in the software.,ACCOUNTING
L'écriture n'est pas justifiée dans le grand livre.,The entry is not justified in the general ledger.,ACCOUNTING
Il faut régulariser les écritures de clôture avant la clôture.,Must regularize closing entries before closing.,ACCOUNTING
Il manque l'avoir selon les normes.,Missing the credit note according to standards.,ACCOUNTING
La TVA est incorrecte sur l'exercice N.,The VAT is incorrect on year N.,ACCOUNTING
Je dois saisir les écritures de clôture dans le logiciel.,I must enter closing entries in the software.,ACCOUNTING
On doit amortir les écritures de clôture dans le logiciel.,We must depreciate closing entries in the software.,ACCOUNTING
Il faut régulariser la facture fournisseur avant la clôture.,Must regularize the supplier invoice before closing.,ACCOUNTING
Il manque l'avoir dans le logiciel.,Missing the credit note in the software.,ACCOUNTING
Je dois saisir les écritures de clôture avant la clôture.,I must enter closing entries before closing.,ACCOUNTING
La balance ne s'équilibre pas sur l'exercice N.,The balance does not balance on year N.,ACCOUNTING
L'écriture est incorrecte dans le grand livre.,The entry is incorrect in the general ledger.,ACCOUNTING
Il faut régulariser l'avoir avant la clôture.,Must regularize the credit note before closing.,ACCOUNTING
Je dois saisir les amortissements avant la clôture.,I must enter depreciations before closing.,ACCOUNTING
La balance ne s'équilibre pas dans le grand livre.,The balance does not balance in the general ledger.,ACCOUNTING
Je dois saisir les amortissements selon les normes.,I must enter depreciations according to standards.,ACCOUNTING
Il manque l'avoir avant la clôture.,Missing the credit note before closing.,ACCOUNTING
Je dois saisir l'avoir selon les normes.,I must enter the credit note according to standards.,ACCOUNTING
Je dois saisir la facture fournisseur selon les normes.,I must enter the supplier invoice according to standards.,ACCOUNTING
La provision n'est pas justifiée pour ce mois.,The provision is not justified for this month.,ACCOUNTING
On doit amortir l'avoir selon les normes.,We must depreciate the credit note according to standards.,ACCOUNTING
L'écriture n'est pas justifiée sur l'exercice N.,The entry is not justified on year N.,ACCOUNTING
La TVA est incorrecte pour ce mois.,The VAT is incorrect for this month.,ACCOUNTING
Il faut régulariser la facture fournisseur dans le logiciel.,Must regularize the supplier invoice in the software.,ACCOUNTING
Le bilan est fausse sur l'exercice N.,The balance sheet is wrong on year N.,ACCOUNTING
Il manque les amortissements selon les normes.,Missing depreciations according to standards.,ACCOUNTING
La provision est fausse pour ce mois.,The provision is wrong for this month.,ACCOUNTING
Le bilan est fausse dans le grand livre.,The balance sheet is wrong in the general ledger.,ACCOUNTING
Je dois saisir l'avoir avant la clôture.,I must enter the credit note before closing.,ACCOUNTING
L'écriture ne s'équilibre pas sur l'exercice N.,The entry does not balance on year N.,ACCOUNTING
Il faut régulariser l'avoir dans le logiciel.,Must regularize the credit note in the software.,ACCOUNTING
La provision ne s'équilibre pas sur l'exercice N.,The provision does not balance on year N.,ACCOUNTING
L'écriture ne s'équilibre pas pour ce mois.,The entry does not balance for this month.,ACCOUNTING
On doit amortir la facture fournisseur dans le logiciel.,We must depreciate the supplier invoice in the software.,ACCOUNTING
La provision n'est pas justifiée sur l'exercice N.,The provision is not justified on year N.,ACCOUNTING
La balance n'est pas justifiée pour ce mois.,The balance is not justified for this month.,ACCOUNTING
La balance est fausse pour ce mois.,The balance is wrong for this month.,ACCOUNTING
La TVA ne s'équilibre pas sur l'exercice N.,The VAT does not balance on year N.,ACCOUNTING
Il manque les écritures de clôture dans le logiciel.,Missing closing entries in the software.,ACCOUNTING
La provision ne s'équilibre pas dans le grand livre.,The provision does not balance in the general ledger.,ACCOUNTING
Il faut régulariser les amortissements selon les normes.,Must regularize depreciations according to standards.,ACCOUNTING
Je dois saisir la facture fournisseur avant la clôture.,I must enter the supplier invoice before closing.,ACCOUNTING
Le bilan ne s'équilibre pas sur l'exercice N.,The balance sheet does not balance on year N.,ACCOUNTING
La balance n'est pas justifiée sur l'exercice N.,The balance is not justified on year N.,ACCOUNTING
La TVA ne s'équilibre pas dans le grand livre.,The VAT does not balance in the general ledger.,ACCOUNTING
L'écriture est fausse sur l'exercice N.,The entry is wrong on year N.,ACCOUNTING
La TVA n'est pas justifiée sur l'exercice N.,The VAT is not justified on year N.,ACCOUNTING
Il faut régulariser la facture fournisseur selon les normes.,Must regularize the supplier invoice according to standards.,ACCOUNTING
On doit amortir les amortissements selon les normes.,We must depreciate depreciations according to standards.,ACCOUNTING
La TVA est incorrecte dans le grand livre.,The VAT is incorrect in the general ledger.,ACCOUNTING
Le bilan est incorrecte pour ce mois.,The balance sheet is incorrect for this month.,ACCOUNTING
Le bilan est incorrecte sur l'exercice N.,The balance sheet is incorrect on year N.,ACCOUNTING
L'écriture est fausse pour ce mois.,The entry is wrong for this month.,ACCOUNTING
On doit amortir l'avoir avant la clôture.,We must depreciate the credit note before closing.,ACCOUNTING
La TVA n'est pas justifiée dans le grand livre.,The VAT is not justified in the general ledger.,ACCOUNTING
La TVA ne s'équilibre pas pour ce mois.,The VAT does not balance for this month.,ACCOUNTING
Il manque la facture fournisseur selon les normes.,Missing the supplier invoice according to standards.,ACCOUNTING
L'écriture est incorrecte sur l'exercice N.,The entry is incorrect on year N.,ACCOUNTING
Il manque les écritures de clôture avant la clôture.,Missing closing entries before closing.,ACCOUNTING
La TVA est fausse pour ce mois.,The VAT is wrong for this month.,ACCOUNTING
La provision ne s'équilibre pas pour ce mois.,The provision does not balance for this month.,ACCOUNTING
La balance est fausse sur l'exercice N.,The balance is wrong on year N.,ACCOUNTING
La TVA est fausse sur l'exercice N.,The VAT is wrong on year N.,ACCOUNTING
Il faut régulariser les amortissements avant la clôture.,Must regularize depreciations before closing.,ACCOUNTING
Je dois saisir les amortissements dans le logiciel.,I must enter depreciations in the software.,ACCOUNTING
On doit amortir les écritures de clôture avant la clôture.,We must depreciate closing entries before closing.,ACCOUNTING
La balance est incorrecte sur l'exercice N.,The balance is incorrect on year N.,ACCOUNTING
La balance est incorrecte pour ce mois.,The balance is incorrect for this month.,ACCOUNTING
Je dois saisir les écritures de clôture selon les normes.,I must enter closing entries according to standards.,ACCOUNTING
Il faut régulariser l'avoir selon les normes.,Must regularize the credit note according to standards.,ACCOUNTING
On doit amortir les écritures de clôture selon les normes.,We must depreciate closing entries according to standards.,ACCOUNTING
La provision est fausse sur l'exercice N.,The provision is wrong on year N.,ACCOUNTING
Le bilan est incorrecte dans le grand livre.,The balance sheet is incorrect in the general ledger.,ACCOUNTING
La provision est incorrecte sur l'exercice N.,The provision is incorrect on year N.,ACCOUNTING
L'écriture est fausse dans le grand livre.,The entry is wrong in the general ledger.,ACCOUNTING
