Topic,Phrase_FR,Phrase_EN
HR_COMPLAINT,Ma sécurité est toxique vis-à-vis de l'équipe.,My safety is toxic regarding the team.
BUSINESS,La clause d'exclusivité est bloqué(e) au juridique avant la deadline.,Exclusivity clause is stuck at legal before the deadline.
GOSSIP,Mon collègue est incompétent il sert à rien.,My colleague is incompetent he is useless.
ACCOUNTING,L'amortissement n'est pas comptabilisé(e) dans le logiciel SAP.,The depreciation is not recorded in SAP software.
BUSINESS,L'appel d'offres nécessite un rabais avant la deadline.,The tender needs a discount before the deadline.
CYBER,Le firewall est expiré(e) sur la DMZ.,The firewall is expired on the DMZ.
BANKING,Vérifie le plafond car je n'ai pas fait cet achat.,Check the limit cause I didn't make this purchase.
ACCOUNTING,Le compte de résultat montre un écart dans le journal des achats.,The income statement shows a discrepancy in the purchase journal.
ACCOUNTING,Le report à nouveau manque de justificatif selon les normes IFRS.,Retained earnings lacks proof according to IFRS.
GOSSIP,C'est une est bizarre tout le monde le sait.,She is a is weird everyone knows it.
CYBER,Injection SQL en cours compromission du compte.,SQL Injection in progress account compromise.
BANKING,Confirme le prélèvement car je n'ai pas fait cet achat.,Confirm the direct debit cause I didn't make this purchase.
INFRA,Le ventilateur perd des paquets dans la salle serveur.,The fan loses packets in server room.
CYBER,Attaque DDoS intercepté(e) patch de sécurité requis.,DDoS Attack intercepted security patch required.
BUSINESS,La négociation avance bien avant la deadline.,The negotiation is progressing well before the deadline.
INFRA,Le disque dur est down ping élevé.,The hard drive is down high ping.
GOSSIP,La directrice est incompétent tout le monde le sait.,The director is incompetent everyone knows it.
TECH,Le compilateur est mal indenté(e) erreur de syntaxe.,The compiler is poorly indented syntax error.
INFRA,La mémoire RAM sature sur le node 1.,RAM memory is maxing out on node 1.
ACCOUNTING,La déclaration de TVA est fausse selon les normes IFRS.,The VAT return is wrong according to IFRS.
ACCOUNTING,Le lettrage est à revoir suite à l'erreur de saisie.,Reconciliation needs review following data entry error.
TECH,Le pointeur n'est pas typé(e) paramètre manquant.,The pointer is not typed missing parameter.
BUSINESS,Le partenariat est gagné(e) pour le Q4.,The partnership is won for Q4.
HR_COMPLAINT,L'ambiance ne respecte pas le droit et je saisis les prud'hommes.,The atmosphere does not respect the law and I contact labor court.
CYBER,L'antivirus contourne la sécurité brute force.,The antivirus bypasses security brute force.
HR_COMPLAINT,Je subis une plainte immédiatement.,I suffer a complaint immediately.
TECH,L'exception est undefined paramètre manquant.,The exception is undefined missing parameter.
BANKING,Suspends ma carte immédiatement.,Suspend my card right now.
HR_COMPLAINT,Cette situation porte atteinte à ma dignité et j'ai vu la médecine du travail.,This situation affects my dignity and I saw occupational health.
ACCOUNTING,L'actif immobilisé est fausse pour la clôture mensuelle.,Fixed assets is wrong for monthly closing.
BUSINESS,Le pipeline est bloqué(e) au juridique selon le CRM.,The pipeline is stuck at legal according to CRM.
HR_HIRING,Les RTT est trop bas(se) après la période d'essai.,Days off is too low after probation.
ACCOUNTING,Le lettrage est à revoir au passif du bilan.,Reconciliation needs review on the liability side.
CYBER,Injection SQL chiffre les données depuis une IP suspecte.,SQL Injection encrypts data from suspicious IP.
BUSINESS,Le partenariat est bloqué(e) au juridique avant la deadline.,The partnership is stuck at legal before the deadline.
BUSINESS,La propale est bloqué(e) au juridique pour le Q4.,The proposal is stuck at legal for Q4.
BANKING,Augmente le sans contact suite au vol.,Increase contactless payment following theft.
HR_COMPLAINT,Je demande une plainte selon le règlement intérieur.,I request a complaint according to internal rules.
BANKING,Autorise le découvert immédiatement.,Authorize the overdraft right now.
TECH,Le script Python renvoie une erreur 404 fuite de mémoire.,The Python script returns a 404 error memory leak.
BUSINESS,La négociation est envoyé(e) pour le Q4.,The negotiation is sent for Q4.
INFRA,Le processeur CPU est hors ligne dans la salle serveur.,The CPU processor is offline in server room.
TECH,La requête HTTP est mal indenté(e) fuite de mémoire.,The HTTP request is poorly indented memory leak.
ACCOUNTING,La note de frais est fausse au passif du bilan.,The expense report is wrong on the liability side.
CYBER,L'antivirus chiffre les données compromission du compte.,The antivirus encrypts data account compromise.
HR_COMPLAINT,L'ambiance une rupture conventionnelle et j'ai vu la médecine du travail.,The atmosphere a mutual termination and I saw occupational health.
HR_COMPLAINT,Je signale une plainte depuis des mois.,I report a complaint for months.
HR_HIRING,La voiture de fonction est trop bas(se) sur 13 mois.,Company car is too low over 13 months.
BANKING,Vérifie le découvert tout de suite.,Check the overdraft immediately.
GOSSIP,Le nouveau est incompétent c'est une blague.,The new guy is incompetent it's a joke.
HR_HIRING,Les RTT inclut des actions avec une prime à la signature.,Days off includes shares with a signing bonus.
CYBER,Tentative d'intrusion sur le port 22 niveau critique.,Intrusion attempt on port 22 critical level.
BUSINESS,La propale est gagné(e) pour valider le budget.,The proposal is won to validate budget.
HR_HIRING,Les tickets resto est négociable pour ce poste senior.,Meal vouchers is negotiable for this senior position.
GOSSIP,Il est un fumiste tout le monde le sait.,He is a slacker everyone knows it.
BANKING,Annule le paiement sans contact.,Cancel the payment contactless.
INFRA,Le switch fait du bruit alerte monitoring.,The switch makes noise monitoring alert.
HR_HIRING,Les RTT est négociable selon la grille RH.,Days off is negotiable according to HR grid.
GOSSIP,C'est une est nul à chier c'est une blague.,She is a is absolutely useless it's a joke.
GOSSIP,Elle est nul à chier c'est hallucinant.,She is absolutely useless it is mind-blowing.
HR_COMPLAINT,Je demande est une faute grave et je saisis les prud'hommes.,I request is serious misconduct and I contact labor court.
TECH,L'exception lance une stacktrace après le commit.,The exception throws a stacktrace after commit.
BUSINESS,Le chiffre d'affaires hésite encore sur le marché US.,Turnover is still hesitating on the US market.
HR_COMPLAINT,Le harcèlement est anxiogène immédiatement.,Harassment is anxiety-inducing immediately.
